"seriesNumber","title","sourceFile","publishFile","chineseChars","status","zhihuUrl"
"15","岐伯公开文本系统研究（15）｜心理、创伤、焦虑、孤独、自尊与主体修复：岐伯文本的内部重建","research/papers/14_心理主体修复与情绪劳动.md","research/zhihu/articles/15_14_心理主体修复与情绪劳动.md","8215","READY",""
"16","岐伯公开文本系统研究（16）｜从公共论辩到生活伦理？岐伯文本2017—2026年的历时变化、平台迁移与命题分化","research/papers/15_从公共论辩到生活伦理_历时演变研究.md","research/zhihu/articles/16_15_从公共论辩到生活伦理_历时演变研究.md","8336","READY",""
"17","岐伯公开文本系统研究（17）｜从平权到不被物化：岐伯文本中的性别、身体、性、同意与照料","research/papers/16_性别身体性与同意.md","research/zhihu/articles/17_16_性别身体性与同意.md","12356","READY",""
"18","岐伯公开文本系统研究（18）｜全量概念网络与命题分布：4,050篇岐伯文本的定量辅助重建","research/papers/17_全量概念网络与命题分布.md","research/zhihu/articles/18_17_全量概念网络与命题分布.md","5716","READY",""
"19","岐伯公开文本系统研究（19）｜责任、自由与成本：岐伯文本中的跨领域行动结构","research/papers/18_责任自由成本的跨域结构.md","research/zhihu/articles/19_18_责任自由成本的跨域结构.md","5763","READY",""
"20","岐伯公开文本系统研究（20）｜不是一套无缝教义：岐伯文本的内部张力与条件差异","research/papers/19_内部张力与条件差异.md","research/zhihu/articles/20_19_内部张力与条件差异.md","4039","READY",""
"21","岐伯公开文本系统研究（21）｜岐伯核心概念词典与语义结构：三十个概念的内部重建","research/papers/20_核心概念词典与语义结构.md","research/zhihu/articles/21_20_核心概念词典与语义结构.md","11350","READY",""
"22","岐伯公开文本系统研究（22）｜从作者术语到行动语法：岐伯核心概念的层级、转义与连接方式","research/papers/21_作者术语与行动语法.md","research/zhihu/articles/22_21_作者术语与行动语法.md","5635","READY",""
"23","岐伯公开文本系统研究（23）｜核心命题谱系与论证类型：岐伯文本中的问题拆解、推理动作与行动结论","research/papers/22_核心命题谱系与论证类型.md","research/zhihu/articles/23_22_核心命题谱系与论证类型.md","7427","READY",""
"24","岐伯公开文本系统研究（24）｜平台控制后的概念迁移：岐伯文本2018—2026年的原词分布与文章级配对","research/papers/23_平台控制后的概念迁移与历时配对.md","research/zhihu/articles/24_23_平台控制后的概念迁移与历时配对.md","4424","READY",""
"25","岐伯公开文本系统研究（25）｜条件不是附注：岐伯文本二十五组内部张力的扩展重建","research/papers/24_扩展内部张力与条件矩阵.md","research/zhihu/articles/25_24_扩展内部张力与条件矩阵.md","6651","READY",""
"26","岐伯公开文本系统研究（26）｜从病患主体到公共卫生：岐伯文本中的医疗、疾病与照料秩序","research/papers/25_医疗疾病与照料秩序.md","research/zhihu/articles/26_25_医疗疾病与照料秩序.md","7873","READY",""
"27","岐伯公开文本系统研究（27）｜从怀疑到重返合作：岐伯文本中的犯罪、刑罚与司法秩序","research/papers/26_犯罪刑罚与司法秩序.md","research/zhihu/articles/27_26_犯罪刑罚与司法秩序.md","14369","READY",""
"28","岐伯公开文本系统研究（28）｜从胜利定义到修和之礼：岐伯文本中的战争、军事与外交秩序","research/papers/27_战争军事外交与大国秩序.md","research/zhihu/articles/28_27_战争军事外交与大国秩序.md","10902","READY",""
"29","岐伯公开文本系统研究（29）｜从价值辨认到秩序中心：岐伯文本中的艺术、审美与文化生产","research/papers/28_艺术审美与文化生产.md","research/zhihu/articles/29_28_艺术审美与文化生产.md","10947","READY",""
"30","岐伯公开文本系统研究（30）｜从有根消息到公共器具：岐伯文本中的媒体、舆论与公共认知秩序","research/papers/29_媒体舆论与公共认知秩序.md","research/zhihu/articles/30_29_媒体舆论与公共认知秩序.md","9451","READY",""
"31","岐伯公开文本系统研究（31）｜从必死信念到历史存在：岐伯文本中的死亡、祭祀与纪念秩序","research/papers/30_死亡祭祀与纪念秩序.md","research/zhihu/articles/31_30_死亡祭祀与纪念秩序.md","12559","READY",""
"32","岐伯公开文本系统研究（32）｜从文化认同到与异己共存：岐伯文本中的民族、族群与身份秩序","research/papers/31_民族族群与身份秩序.md","research/zhihu/articles/32_31_民族族群与身份秩序.md","13079","READY",""
"33","岐伯公开文本系统研究（33）｜从应付自然到管理文明：岐伯文本中的生态、能源与自然秩序","research/papers/32_生态能源与自然秩序.md","research/zhihu/articles/33_32_生态能源与自然秩序.md","12024","READY",""
"34","岐伯公开文本系统研究（34）｜从提问者到文明协调：岐伯文本中的人工智能、机器与未来秩序","research/papers/33_人工智能机器与未来秩序.md","research/zhihu/articles/34_33_人工智能机器与未来秩序.md","12062","READY",""
