"conceptA","conceptB","conceptAArticleCount","conceptBArticleCount","coArticleCount","coArticleRate","jaccard","lift"
"劳动与组织","信用与信任","1294","1131","404","0.099753","0.199901","1.117994"
"技术与工程","心理与主体","1108","1640","391","0.096543","0.165889","0.871461"
"法律与秩序","技术与工程","1271","1108","389","0.096049","0.195477","1.118715"
"文明与历史","心理与主体","1081","1640","389","0.096049","0.16681","0.888659"
"财富与市场","法律与秩序","1034","1271","388","0.095802","0.2024","1.195696"
"爱与回应","法律与秩序","1299","1271","385","0.095062","0.176201","0.944411"
"边界与许可","照料与家庭","1267","1054","383","0.094568","0.197626","1.161546"
"劳动与组织","文明与历史","1294","1081","381","0.094074","0.191073","1.103113"
"财富与市场","心理与主体","1034","1640","376","0.09284","0.163621","0.898004"
"劳动与组织","照料与家庭","1294","1054","370","0.091358","0.187058","1.098707"
"法律与秩序","照料与家庭","1271","1054","361","0.089136","0.183809","1.09138"
"权力与异议","照料与家庭","1210","1054","360","0.088889","0.189076","1.143225"
"事实与证据","照料与家庭","1463","1054","360","0.088889","0.166898","0.945524"
"财富与市场","技术与工程","1034","1108","356","0.087901","0.199328","1.258475"
"权力与异议","信用与信任","1210","1131","356","0.087901","0.179345","1.053555"
"爱与回应","劳动与组织","1299","1294","354","0.087407","0.158106","0.852933"
"技术与工程","权力与异议","1108","1210","352","0.086914","0.179044","1.063341"
"能力与学习","性别与身体","2595","511","350","0.08642","0.126996","1.068968"
"法律与秩序","信用与信任","1271","1131","345","0.085185","0.16772","0.971999"
"信用与信任","照料与家庭","1131","1054","345","0.085185","0.1875","1.172117"
"财富与市场","文明与历史","1034","1081","339","0.083704","0.190878","1.228311"
"权力与异议","文明与历史","1210","1081","338","0.083457","0.173067","1.046552"
"财富与市场","权力与异议","1034","1210","330","0.081481","0.172414","1.068226"
"财富与市场","事实与证据","1034","1463","329","0.081235","0.151753","0.880818"
"财富与市场","信用与信任","1034","1131","326","0.080494","0.17727","1.128988"
"爱与回应","财富与市场","1299","1034","312","0.077037","0.154379","0.940762"
"性别与身体","责任与后果","511","2571","311","0.07679","0.112234","0.958721"
"性别与身体","选择与自由","511","2332","310","0.076543","0.122385","1.053579"
"成本与总账","性别与身体","2508","511","304","0.075062","0.111971","0.960683"
"技术与工程","信用与信任","1108","1131","298","0.07358","0.153529","0.963095"
"边界与许可","技术与工程","1267","1108","294","0.072593","0.141278","0.848176"
"边界与许可","文明与历史","1267","1081","286","0.070617","0.1387","0.845705"
"爱与回应","文明与历史","1299","1081","283","0.069877","0.134955","0.816219"
"边界与许可","财富与市场","1267","1034","279","0.068889","0.137982","0.862506"
"财富与市场","照料与家庭","1034","1054","275","0.067901","0.151682","1.021943"
"净输出与不掠夺","责任与后果","339","2571","266","0.065679","0.100605","1.236047"
"爱与回应","技术与工程","1299","1108","263","0.064938","0.122668","0.740051"
"文明与历史","照料与家庭","1081","1054","258","0.063704","0.137453","0.917083"
"心理与主体","性别与身体","1640","511","254","0.062716","0.133896","1.227507"
"能力与学习","生态与自然","2595","350","251","0.061975","0.09317","1.11924"
"技术与工程","照料与家庭","1108","1054","250","0.061728","0.130753","0.866991"
"成本与总账","净输出与不掠夺","2508","339","248","0.061235","0.095421","1.181352"
"成本与总账","生态与自然","2508","350","243","0.06","0.092925","1.121155"
"文明与历史","信用与信任","1081","1131","239","0.059012","0.121135","0.791707"
"净输出与不掠夺","选择与自由","339","2332","237","0.058519","0.097371","1.214158"
"定义与达意","性别与身体","1766","511","213","0.052593","0.103198","0.955923"
"责任与后果","宗教与自然法","2571","318","211","0.052099","0.07879","1.045221"
"净输出与不掠夺","能力与学习","339","2595","204","0.05037","0.074725","0.939178"
"能力与学习","宗教与自然法","2595","318","200","0.049383","0.073719","0.981568"
"选择与自由","宗教与自然法","2332","318","200","0.049383","0.081633","1.092268"
"生态与自然","责任与后果","350","2571","194","0.047901","0.07114","0.873146"
"生态与自然","选择与自由","350","2332","187","0.046173","0.07495","0.927898"
"成本与总账","宗教与自然法","2508","318","185","0.045679","0.070049","0.939447"
"爱与回应","性别与身体","1299","511","176","0.043457","0.107711","1.073835"
"事实与证据","性别与身体","1463","511","175","0.04321","0.097276","0.948043"
"权力与异议","性别与身体","1210","511","171","0.042222","0.110323","1.120069"
"定义与达意","净输出与不掠夺","1766","339","169","0.041728","0.087293","1.143277"
"法律与秩序","性别与身体","1271","511","166","0.040988","0.102723","1.035134"
"劳动与组织","性别与身体","1294","511","166","0.040988","0.101281","1.016735"
"性别与身体","照料与家庭","511","1054","165","0.040741","0.117857","1.24073"
"民族与身份","能力与学习","221","2595","162","0.04","0.06104","1.144038"
"技术与工程","生态与自然","1108","350","160","0.039506","0.123267","1.670964"
"边界与许可","性别与身体","1267","511","159","0.039259","0.098209","0.994614"
"爱与回应","净输出与不掠夺","1299","339","158","0.039012","0.106757","1.453126"
"净输出与不掠夺","心理与主体","339","1640","154","0.038025","0.084384","1.121843"
"定义与达意","宗教与自然法","1766","318","150","0.037037","0.077559","1.081754"
"边界与许可","净输出与不掠夺","1267","339","149","0.03679","0.102265","1.404963"
"技术与工程","性别与身体","1108","511","147","0.036296","0.099864","1.051506"
"文明与历史","性别与身体","1081","511","144","0.035556","0.099448","1.055774"
"民族与身份","文明与历史","221","1081","143","0.035309","0.123382","2.424226"
"心理与主体","宗教与自然法","1640","318","143","0.035309","0.078788","1.110504"
"成本与总账","民族与身份","2508","221","141","0.034815","0.054482","1.030278"
"民族与身份","责任与后果","221","2571","137","0.033827","0.051601","0.97652"
"净输出与不掠夺","信用与信任","339","1131","136","0.03358","0.101949","1.436586"
"生态与自然","文明与历史","350","1081","136","0.03358","0.105019","1.455795"
"民族与身份","选择与自由","221","2332","133","0.03284","0.054959","1.045167"
"法律与秩序","民族与身份","1271","221","131","0.032346","0.096253","1.888811"
"法律与秩序","净输出与不掠夺","1271","339","130","0.032099","0.087838","1.221949"
"信用与信任","性别与身体","1131","511","129","0.031852","0.085261","0.903985"
"财富与市场","性别与身体","1034","511","128","0.031605","0.090332","0.981123"
"文明与历史","宗教与自然法","1081","318","126","0.031111","0.098979","1.484475"
"事实与证据","宗教与自然法","1463","318","125","0.030864","0.075483","1.088162"
"净输出与不掠夺","劳动与组织","339","1294","124","0.030617","0.082174","1.144835"
"劳动与组织","生态与自然","1294","350","124","0.030617","0.081579","1.108854"
"定义与达意","生态与自然","1766","350","123","0.03037","0.061716","0.805938"
"法律与秩序","宗教与自然法","1271","318","121","0.029877","0.082425","1.212461"
"财富与市场","生态与自然","1034","350","117","0.028889","0.092344","1.30934"
"法律与秩序","生态与自然","1271","350","117","0.028889","0.077793","1.065191"
"净输出与不掠夺","权力与异议","339","1210","117","0.028889","0.081704","1.155196"
"边界与许可","宗教与自然法","1267","318","115","0.028395","0.078231","1.155977"
"净输出与不掠夺","事实与证据","339","1463","115","0.028395","0.068168","0.939094"
"权力与异议","宗教与自然法","1210","318","114","0.028148","0.080622","1.199906"
"财富与市场","净输出与不掠夺","1034","339","113","0.027901","0.089683","1.305609"
"权力与异议","生态与自然","1210","350","111","0.027407","0.076605","1.061511"
"净输出与不掠夺","照料与家庭","339","1054","108","0.026667","0.084047","1.224161"
"生态与自然","事实与证据","350","1463","104","0.025679","0.060854","0.822576"
"爱与回应","宗教与自然法","1299","318","103","0.025432","0.068032","1.009848"
"生态与自然","心理与主体","350","1640","103","0.025432","0.054584","0.726742"
"劳动与组织","宗教与自然法","1294","318","102","0.025185","0.06755","1.003908"
"定义与达意","民族与身份","1766","221","100","0.024691","0.052994","1.037701"
"能力与学习","人工智能与机器","2595","118","99","0.024444","0.037873","1.309396"
"照料与家庭","宗教与自然法","1054","318","94","0.02321","0.073552","1.135835"
"民族与身份","事实与证据","221","1463","91","0.022469","0.057125","1.139882"
"技术与工程","人工智能与机器","1108","118","90","0.022222","0.079225","2.787891"
"民族与身份","心理与主体","221","1640","87","0.021481","0.049042","0.972161"
"劳动与组织","民族与身份","1294","221","86","0.021235","0.060182","1.217943"
"生态与自然","照料与家庭","350","1054","86","0.021235","0.06525","0.944158"
"边界与许可","生态与自然","1267","350","84","0.020741","0.054795","0.767167"
"财富与市场","宗教与自然法","1034","318","84","0.020741","0.066246","1.034634"
"技术与工程","民族与身份","1108","221","79","0.019506","0.0632","1.306622"
"信用与信任","宗教与自然法","1131","318","79","0.019506","0.057664","0.889595"
"技术与工程","宗教与自然法","1108","318","77","0.019012","0.057079","0.885073"
"成本与总账","人工智能与机器","2508","118","76","0.018765","0.029804","1.040062"
"技术与工程","净输出与不掠夺","1108","339","76","0.018765","0.055434","0.819463"
"爱与回应","生态与自然","1299","350","74","0.018272","0.046984","0.659188"
"生态与自然","信用与信任","350","1131","72","0.017778","0.0511","0.736643"
"财富与市场","民族与身份","1034","221","69","0.017037","0.058179","1.222901"
"民族与身份","权力与异议","221","1210","69","0.017037","0.050661","1.045024"
"人工智能与机器","责任与后果","118","2571","63","0.015556","0.023991","0.84103"
"爱与回应","民族与身份","1299","221","61","0.015062","0.041809","0.860565"
"人工智能与机器","选择与自由","118","2332","60","0.014815","0.025105","0.883071"
"净输出与不掠夺","文明与历史","339","1081","58","0.014321","0.042584","0.640999"
"劳动与组织","人工智能与机器","1294","118","58","0.014321","0.042836","1.538391"
"生态与自然","性别与身体","350","511","54","0.013333","0.066914","1.222812"
"边界与许可","民族与身份","1267","221","53","0.013086","0.036934","0.766588"
"性别与身体","宗教与自然法","511","318","49","0.012099","0.062821","1.221246"
"民族与身份","照料与家庭","221","1054","48","0.011852","0.03912","0.834571"
"定义与达意","人工智能与机器","1766","118","47","0.011605","0.025585","0.91344"
"人工智能与机器","文明与历史","118","1081","46","0.011358","0.039896","1.460512"
"人工智能与机器","心理与主体","118","1640","44","0.010864","0.025671","0.920835"
"民族与身份","信用与信任","221","1131","38","0.009383","0.028919","0.615721"
"权力与异议","人工智能与机器","1210","118","37","0.009136","0.02866","1.049517"
"生态与自然","宗教与自然法","350","318","37","0.009136","0.058637","1.346361"
"法律与秩序","人工智能与机器","1271","118","35","0.008642","0.025849","0.945139"
"财富与市场","人工智能与机器","1034","118","34","0.008395","0.030411","1.128578"
"人工智能与机器","事实与证据","118","1463","34","0.008395","0.021978","0.797641"
"净输出与不掠夺","性别与身体","339","511","33","0.008148","0.040392","0.771522"
"人工智能与机器","信用与信任","118","1131","32","0.007901","0.026294","0.971092"
"净输出与不掠夺","宗教与自然法","339","318","31","0.007654","0.049521","1.164635"
"民族与身份","生态与自然","221","350","28","0.006914","0.051565","1.466063"
"民族与身份","宗教与自然法","221","318","28","0.006914","0.054795","1.613592"
"边界与许可","人工智能与机器","1267","118","27","0.006667","0.019882","0.731409"
"爱与回应","人工智能与机器","1299","118","26","0.00642","0.018692","0.686969"
"民族与身份","性别与身体","221","511","26","0.00642","0.036827","0.932428"
"人工智能与机器","生态与自然","118","350","26","0.00642","0.058824","2.549637"
"人工智能与机器","性别与身体","118","511","25","0.006173","0.041391","1.67916"
"净输出与不掠夺","生态与自然","339","350","19","0.004691","0.028358","0.648546"
"人工智能与机器","照料与家庭","118","1054","18","0.004444","0.015598","0.586145"
"净输出与不掠夺","民族与身份","339","221","16","0.003951","0.029412","0.864934"
"人工智能与机器","宗教与自然法","118","318","11","0.002716","0.025882","1.18724"
"民族与身份","人工智能与机器","221","118","9","0.002222","0.027273","1.39773"
"净输出与不掠夺","人工智能与机器","339","118","8","0.001975","0.017817","0.80996"
