"year","yearCoverage","articleCount","term","literal","authorHitArticleCount","authorArticleCoverage","authorArticleCoverageUnrounded","fullLexicalHitArticleCount","excludedQuoteOnlyHitArticleCount","authorOccurrenceCount","occurrencesPer100kAuthorNonWhitespaceChars","occurrencesPer100kAuthorNonWhitespaceCharsUnrounded","fullLexicalOccurrenceCount","excludedQuoteOccurrenceCount","authorTextCharCount","authorNonWhitespaceCharCount","fullLexicalCharCount","fullLexicalNonWhitespaceCharCount","excludedTopLevelQuoteCharCount"
"2019","complete_calendar_year","115","ability","能力","44","0.3826087","0.3826086956521739","44","0","140","85.623769","85.62376915831835","140","0","163655","163506","164802","164651","1147"
"2020","complete_calendar_year","326","love","爱","78","0.2392638","0.2392638036809816","78","0","384","92.966053","92.96605286475861","390","6","413659","413054","418925","418278","5266"
"2020","complete_calendar_year","326","naturalLaw","自然法","4","0.01226994","0.012269938650306749","4","0","18","4.357784","4.357783728035559","18","0","413659","413054","418925","418278","5266"
"2020","complete_calendar_year","326","labor","劳动","17","0.05214724","0.05214723926380368","17","0","40","9.683964","9.683963840079022","40","0","413659","413054","418925","418278","5266"
"2020","complete_calendar_year","326","responsibility","责任","56","0.17177914","0.17177914110429449","56","0","143","34.620171","34.6201707282825","143","0","413659","413054","418925","418278","5266"
"2020","complete_calendar_year","326","freedom","自由","55","0.16871166","0.1687116564417178","55","0","135","32.683378","32.6833779602667","135","0","413659","413054","418925","418278","5266"
"2020","complete_calendar_year","326","ethics","伦理","45","0.13803681","0.13803680981595093","46","1","85","20.578423","20.57842316016792","86","1","413659","413054","418925","418278","5266"
"2020","complete_calendar_year","326","fact","事实","83","0.25460123","0.254601226993865","83","0","207","50.114513","50.11451287240894","207","0","413659","413054","418925","418278","5266"
"2020","complete_calendar_year","326","ability","能力","118","0.36196319","0.3619631901840491","118","0","341","82.555792","82.55579173667365","341","0","413659","413054","418925","418278","5266"
"2021","complete_calendar_year","623","love","爱","196","0.31460674","0.3146067415730337","199","3","1019","136.867809","136.86780906739162","1029","10","745337","744514","753486","752475","8149"
"2021","complete_calendar_year","623","naturalLaw","自然法","18","0.02889246","0.028892455858747994","19","1","61","8.193264","8.19326433082521","62","1","745337","744514","753486","752475","8149"
"2021","complete_calendar_year","623","labor","劳动","23","0.03691814","0.03691813804173355","23","0","63","8.461896","8.461895948229314","63","0","745337","744514","753486","752475","8149"
"2021","complete_calendar_year","623","responsibility","责任","117","0.18780096","0.18780096308186195","117","0","301","40.429058","40.42905841931784","301","0","745337","744514","753486","752475","8149"
"2021","complete_calendar_year","623","freedom","自由","108","0.17335474","0.17335473515248795","108","0","268","35.996637","35.9966367321501","270","2","745337","744514","753486","752475","8149"
"2021","complete_calendar_year","623","ethics","伦理","66","0.105939","0.10593900481540931","67","1","127","17.058108","17.058107705160683","128","1","745337","744514","753486","752475","8149"
"2021","complete_calendar_year","623","fact","事实","209","0.33547352","0.33547351524879615","209","0","475","63.800009","63.800009133474994","475","0","745337","744514","753486","752475","8149"
"2021","complete_calendar_year","623","ability","能力","212","0.34028892","0.3402889245585875","212","0","535","71.858958","71.85895765559815","537","2","745337","744514","753486","752475","8149"
"2022","complete_calendar_year","439","love","爱","95","0.21640091","0.2164009111617312","95","0","357","87.501072","87.50107231706271","375","18","408635","407995","416901","416013","8266"
"2022","complete_calendar_year","439","naturalLaw","自然法","11","0.02505695","0.025056947608200455","11","0","26","6.372627","6.372627115528377","26","0","408635","407995","416901","416013","8266"
"2022","complete_calendar_year","439","labor","劳动","19","0.04328018","0.04328018223234624","19","0","48","11.76485","11.764850059437002","48","0","408635","407995","416901","416013","8266"
"2022","complete_calendar_year","439","responsibility","责任","63","0.14350797","0.14350797266514806","64","1","147","36.029853","36.029853307025824","149","2","408635","407995","416901","416013","8266"
"2022","complete_calendar_year","439","freedom","自由","59","0.13439636","0.13439635535307518","60","1","154","37.745561","37.74556060736038","155","1","408635","407995","416901","416013","8266"
"2022","complete_calendar_year","439","ethics","伦理","30","0.06833713","0.0683371298405467","30","0","45","11.029547","11.02954693072219","45","0","408635","407995","416901","416013","8266"
"2022","complete_calendar_year","439","fact","事实","97","0.22095672","0.22095671981776766","98","1","174","42.647581","42.64758146545913","179","5","408635","407995","416901","416013","8266"
"2022","complete_calendar_year","439","ability","能力","120","0.27334852","0.2733485193621868","120","0","290","71.079302","71.0793024424319","290","0","408635","407995","416901","416013","8266"
"2023","complete_calendar_year","573","love","爱","133","0.23211169","0.23211169284467714","133","0","476","85.831493","85.83149258441149","478","2","555159","554575","560420","559727","5261"
"2023","complete_calendar_year","573","naturalLaw","自然法","25","0.04363002","0.04363001745200698","25","0","47","8.474958","8.474958301401974","47","0","555159","554575","560420","559727","5261"
"2023","complete_calendar_year","573","labor","劳动","29","0.05061082","0.0506108202443281","29","0","46","8.29464","8.294640039670018","46","0","555159","554575","560420","559727","5261"
"2023","complete_calendar_year","573","responsibility","责任","98","0.17102967","0.17102966841186737","98","0","237","42.735428","42.735428030473784","240","3","555159","554575","560420","559727","5261"
"2023","complete_calendar_year","573","freedom","自由","75","0.13089005","0.13089005235602094","75","0","171","30.834423","30.83442275616463","171","0","555159","554575","560420","559727","5261"
"2023","complete_calendar_year","573","ethics","伦理","45","0.07853403","0.07853403141361257","45","0","83","14.966416","14.966415723752423","83","0","555159","554575","560420","559727","5261"
"2023","complete_calendar_year","573","fact","事实","97","0.16928447","0.16928446771378708","97","0","207","37.32588","37.32588017851508","208","1","555159","554575","560420","559727","5261"
"2023","complete_calendar_year","573","ability","能力","153","0.26701571","0.2670157068062827","153","0","311","56.078979","56.078979398638594","312","1","555159","554575","560420","559727","5261"
"2024","complete_calendar_year","586","love","爱","174","0.29692833","0.29692832764505117","176","2","810","142.797959","142.79795851807452","829","19","568316","567235","582767","581670","14451"
"2024","complete_calendar_year","586","naturalLaw","自然法","45","0.07679181","0.07679180887372014","45","0","83","14.632383","14.632383403703932","83","0","568316","567235","582767","581670","14451"
"2024","complete_calendar_year","586","labor","劳动","36","0.06143345","0.06143344709897611","36","0","57","10.048745","10.048745229049688","85","28","568316","567235","582767","581670","14451"
"2024","complete_calendar_year","586","responsibility","责任","97","0.16552901","0.16552901023890784","98","1","201","35.435049","35.435048965596266","203","2","568316","567235","582767","581670","14451"
"2024","complete_calendar_year","586","freedom","自由","84","0.14334471","0.14334470989761092","84","0","161","28.383298","28.383297927666664","163","2","568316","567235","582767","581670","14451"
"2024","complete_calendar_year","586","ethics","伦理","50","0.08532423","0.08532423208191127","50","0","91","16.042734","16.042733611289854","91","0","568316","567235","582767","581670","14451"
"2024","complete_calendar_year","586","fact","事实","112","0.19112628","0.19112627986348124","113","1","181","31.909173","31.909173446631467","182","1","568316","567235","582767","581670","14451"
"2024","complete_calendar_year","586","ability","能力","133","0.22696246","0.22696245733788395","134","1","232","40.900156","40.90015601999171","235","3","568316","567235","582767","581670","14451"
"2025","complete_calendar_year","282","love","爱","77","0.27304965","0.2730496453900709","77","0","274","107.504944","107.50494365799304","283","9","255338","254872","262328","261809","6990"
"2025","complete_calendar_year","282","naturalLaw","自然法","16","0.05673759","0.05673758865248227","16","0","32","12.555322","12.55532188706488","32","0","255338","254872","262328","261809","6990"
"2025","complete_calendar_year","282","labor","劳动","24","0.08510638","0.0851063829787234","24","0","72","28.249474","28.24947424589598","72","0","255338","254872","262328","261809","6990"
"2025","complete_calendar_year","282","responsibility","责任","39","0.13829787","0.13829787234042554","39","0","104","40.804796","40.80479613296086","104","0","255338","254872","262328","261809","6990"
"2025","complete_calendar_year","282","freedom","自由","38","0.13475177","0.1347517730496454","38","0","79","30.995951","30.995950908691423","79","0","255338","254872","262328","261809","6990"
"2025","complete_calendar_year","282","ethics","伦理","12","0.04255319","0.0425531914893617","12","0","15","5.885307","5.885307134561662","15","0","255338","254872","262328","261809","6990"
"2025","complete_calendar_year","282","fact","事实","47","0.16666667","0.16666666666666666","48","1","69","27.072413","27.072412818983647","70","1","255338","254872","262328","261809","6990"
"2025","complete_calendar_year","282","ability","能力","62","0.21985816","0.2198581560283688","63","1","120","47.082457","47.0824570764933","122","2","255338","254872","262328","261809","6990"
"2026","partial_to_latest_observed_zhihu_article","251","love","爱","103","0.41035857","0.4103585657370518","107","4","508","191.2341","191.23409990099495","539","31","265782","265643","290502","290287","24720"
"2026","partial_to_latest_observed_zhihu_article","251","naturalLaw","自然法","8","0.03187251","0.03187250996015936","8","0","13","4.893786","4.893786021088453","13","0","265782","265643","290502","290287","24720"
"2026","partial_to_latest_observed_zhihu_article","251","labor","劳动","21","0.08366534","0.08366533864541832","21","0","32","12.046243","12.046242513448501","32","0","265782","265643","290502","290287","24720"
"2026","partial_to_latest_observed_zhihu_article","251","responsibility","责任","37","0.14741036","0.14741035856573706","39","2","77","28.986271","28.986271047985454","82","5","265782","265643","290502","290287","24720"
"2026","partial_to_latest_observed_zhihu_article","251","freedom","自由","28","0.11155378","0.11155378486055777","28","0","45","16.940029","16.940028534536953","45","0","265782","265643","290502","290287","24720"
"2026","partial_to_latest_observed_zhihu_article","251","ethics","伦理","8","0.03187251","0.03187250996015936","8","0","9","3.388006","3.3880057069073906","9","0","265782","265643","290502","290287","24720"
"2026","partial_to_latest_observed_zhihu_article","251","fact","事实","50","0.19920319","0.199203187250996","50","0","66","24.845375","24.84537518398753","66","0","265782","265643","290502","290287","24720"
"2026","partial_to_latest_observed_zhihu_article","251","ability","能力","83","0.33067729","0.33067729083665337","87","4","192","72.277455","72.277455080691","204","12","265782","265643","290502","290287","24720"
