"ordinal","id","title","date","concepts","paperRoutes"
"22","c03ead04-bb39-5e4b-88c4-973960af8726","拗相公","2026-07-11","选择与自由;责任与后果;成本与总账;边界与许可;法律与秩序;权力与异议;技术与工程","02;03;05;07;10;12;13;16;17;18;32;33"
"23","fc751d58-91ba-56ce-a9ac-57c400b42cc0","歪比巴卜","2026-07-11","定义与达意;能力与学习;选择与自由;责任与后果;成本与总账;净输出与不掠夺;照料与家庭;财富与市场;权力与异议;心理与主体","02;03;04;05;07;08;09;10;12;13;14;16;17;18"
"24","4323b869-06ea-5335-a116-9418e052e7a4","靶向药","2026-07-11","事实与证据;能力与学习;选择与自由;责任与后果;成本与总账;劳动与组织;文明与历史","02;03;06;07;08;09;10;11;12;13;15;16;17;18;31;32;33"
"25","e0255cb2-a6bc-538a-8962-0fd9977369d3","十里一碑","2026-07-10","责任与后果","02;03;10;12;18"
"26","101192ad-8c18-5d1a-abfe-c6d8e7727c38","砼","2026-07-09","责任与后果;心理与主体","02;03;08;10;12;14;17;18"
"27","6587f538-6d67-5561-99dd-2eaf61719621","眠种","2026-07-09","能力与学习;选择与自由;成本与总账;财富与市场;技术与工程;文明与历史;生态与自然;宗教与自然法","02;03;07;08;10;11;13;15;16;17;18;25;31;32;33"
"28","b4af6921-69d1-5962-ab5f-f7f86f20a794","守在门外的人","2026-07-09","能力与学习;选择与自由;信用与信任;爱与回应;边界与许可;照料与家庭;心理与主体;性别与身体","02;03;04;05;06;07;08;12;13;14;16;17;18"
"29","418ed9e1-86ff-5f85-bc5a-039a241dd006","乐见其道","2026-07-09","事实与证据;能力与学习;选择与自由;责任与后果;技术与工程;心理与主体","02;03;07;08;09;10;12;13;14;16;17;18;32;33"
"30","446ed510-22ee-5cc9-ab46-f5ef8d851fa7","清静无为","2026-07-09","选择与自由;成本与总账;净输出与不掠夺;劳动与组织;权力与异议","02;03;05;06;07;10;12;13;16;18"
"31","15e6750c-c146-58ea-b925-3a495204a3ef","三分一又三分一","2026-07-08","能力与学习;责任与后果;成本与总账;信用与信任;爱与回应;文明与历史;心理与主体","02;03;04;05;06;08;10;11;12;13;14;15;16;17;18;31;32;33"
"32","17108618-47db-56ee-93c1-b25db0d50aa1","火","2026-07-08","定义与达意;能力与学习;爱与回应;照料与家庭;心理与主体","04;05;08;09;13;14;16;17;18"
"33","8f47c793-1f04-51c5-a61b-60bdb223707b","鱼与鱼","2026-07-08","能力与学习;照料与家庭;生态与自然;性别与身体","04;05;08;13;14;16;18;25;32"
"34","c9e76d20-ad76-500f-95eb-be07ade6e9f1","满分70","2026-07-08","选择与自由;成本与总账;净输出与不掠夺;边界与许可;权力与异议","02;03;05;07;10;12;16;18"
"35","ca0b2dd4-e67a-5243-a150-98c3b33953c1","赤手空拳","2026-07-08","定义与达意;能力与学习;选择与自由;责任与后果;成本与总账;信用与信任;爱与回应;边界与许可;财富与市场;法律与秩序;权力与异议","02;03;04;05;06;07;08;09;10;12;13;14;16;17;18"
"36","b12ffdac-091e-519b-947b-a20d33f76e44","鲍鱼之肆","2026-07-08","定义与达意;成本与总账;爱与回应","03;04;05;09;10;14;16;17;18"
"37","c1f65e27-5be0-5388-aeb8-aae0f0e78b8e","困兽","2026-07-08","定义与达意;责任与后果;信用与信任;爱与回应;照料与家庭;心理与主体;性别与身体","02;03;04;05;06;08;09;10;12;14;16;17;18"
"38","4605e04c-70c0-5b06-bfff-54b358fa6cc4","防事墙","2026-07-07","能力与学习;选择与自由;劳动与组织;性别与身体","02;05;06;07;08;10;13;14;16;18"
"39","4acdd38f-59cb-51e5-a4af-56dc3112c805","弟子服其劳","2026-07-07","能力与学习;责任与后果;爱与回应;边界与许可;劳动与组织","02;03;04;05;06;08;10;12;13;14;16;18"
"40","561bb73f-d62d-5b2c-9af1-279bffea330d","阻住地球的人","2026-07-07","责任与后果;成本与总账;爱与回应;照料与家庭;心理与主体","02;03;04;05;08;10;12;14;16;17;18"
"41","6997b10c-8fe5-573f-b41f-312a70f53490","老实大喇叭","2026-07-07","能力与学习;选择与自由;责任与后果;成本与总账;边界与许可","02;03;05;07;08;10;12;13;16;18"
"42","118b1ce8-3d30-51f5-82eb-af8a008d0c04","快乐的信心","2026-07-07","成本与总账;爱与回应;照料与家庭;劳动与组织;心理与主体","03;04;05;06;08;10;13;14;16;17;18"
"43","86b2eba8-396f-5abb-a558-6da486f552f9","饱汉饥","2026-07-07","定义与达意;能力与学习;成本与总账;边界与许可;财富与市场;宗教与自然法","03;05;07;08;09;10;11;12;13;16;17;18"
"44","4a78f2bf-1338-55f6-b9ce-7a6707d61805","阿宝悄悄话","2026-07-06","事实与证据;定义与达意;能力与学习;信用与信任;爱与回应;照料与家庭;权力与异议;性别与身体","03;04;05;06;07;08;09;12;13;14;16;17;18"
"45","43ef29f4-6fad-5e24-b569-252dc730bfdd","锄禾日当午","2026-07-05","选择与自由;责任与后果;成本与总账;照料与家庭;劳动与组织;生态与自然","02;03;04;05;06;07;10;12;13;14;16;18;25;32"
"46","6610b6b8-873e-550d-a483-2a31a6bf54ca","走投无路","2026-07-05","能力与学习;选择与自由;责任与后果;劳动与组织;心理与主体","02;03;06;07;08;10;12;13;14;16;17;18"
"47","cd1c5049-d5d4-58cf-9a91-ef620e5f1f02","超英","2026-07-05","能力与学习;责任与后果;爱与回应;照料与家庭;劳动与组织;法律与秩序;文明与历史;民族与身份","02;03;04;05;06;07;08;10;11;12;13;14;15;16;18;27;31;32;33"
"48","ec7ef3e1-ccbc-5708-91c4-a63686c9d61f","素约","2026-07-05","定义与达意;能力与学习;责任与后果;成本与总账;信用与信任;爱与回应;照料与家庭;财富与市场;文明与历史","02;03;04;05;06;08;09;10;11;12;13;14;15;16;17;18;31;32;33"
"49","d2959b6d-eb53-56c8-86f7-cbfab6299eea","差半步","2026-07-05","事实与证据;能力与学习;选择与自由;生态与自然;心理与主体","02;07;08;09;13;14;16;17;18;25;32"
"50","dd926b00-b9ae-5d70-9552-61f9b7a9203f","一人之上","2026-07-05","能力与学习;成本与总账;信用与信任;爱与回应;劳动与组织;技术与工程;人工智能与机器;心理与主体","03;04;05;06;08;10;12;13;14;16;17;18;28;29;32;33"
"51","f4cdfc65-3177-52e3-b12c-54859a4db61e","二宝锤","2026-07-05","财富与市场;心理与主体","03;08;10;13;14;17;18"
"52","f1907b91-2872-5dc4-a6c0-2f835567014b","战龙于野","2026-07-05","能力与学习;责任与后果;成本与总账;照料与家庭;劳动与组织","02;03;04;05;06;08;10;12;13;14;16;18"
"53","1fc9f77c-b92d-55f8-9966-095b782fd87f","天网地廊","2026-07-03","责任与后果;成本与总账;劳动与组织;技术与工程;生态与自然","02;03;06;10;12;13;17;18;25;32;33"
"54","d9171979-347e-52be-9db8-e4b4199ce706","山丘背后","2026-07-03","能力与学习;责任与后果;成本与总账;信用与信任;照料与家庭;财富与市场;权力与异议;心理与主体","02;03;04;05;06;07;08;10;12;13;14;16;17;18"
"55","42fa2759-4847-54bd-bd47-b66543ff7389","那六成","2026-07-03","责任与后果;劳动与组织;性别与身体","02;03;05;06;10;12;13;14;16;18"
"56","0adc1c98-d7bb-5ee5-9923-9fe4e163f4d7","we have tried","2026-07-02","责任与后果;成本与总账;法律与秩序;技术与工程","02;03;07;10;12;13;17;18;32;33"
"57","ba2a38af-1016-5306-8be5-3b6a0c38d154","炀","2026-07-02","能力与学习;信用与信任;爱与回应;边界与许可;劳动与组织;权力与异议","03;04;05;06;07;08;10;12;13;14;16;18"
"58","f9f5cb55-a8a1-5437-88fd-43929f90d6d5","冠军病","2026-07-02","事实与证据;定义与达意;能力与学习;选择与自由;成本与总账;心理与主体","02;03;07;08;09;10;13;14;16;17;18"
"59","a6bef4ce-748d-5207-8963-632d78b4ba7c","凤尾","2026-07-01","能力与学习;选择与自由;心理与主体","02;07;08;13;14;16;17;18"
"60","2dcc4d6a-58bf-5e68-9c51-319d51c0f11e","工德无量","2026-06-30","定义与达意;选择与自由;成本与总账;照料与家庭;劳动与组织;财富与市场","02;03;04;05;06;07;09;10;13;14;16;17;18"
"61","3146e5f6-0769-5784-9040-caf8b2920753","正衣冠","2026-06-30","选择与自由;劳动与组织;法律与秩序;性别与身体","02;05;06;07;10;12;13;14;16;18"
"62","5d6e0ac8-4818-559e-9449-7f5af8bcd6ec","人上人上人","2026-06-30","能力与学习;成本与总账;爱与回应;照料与家庭;权力与异议;技术与工程;心理与主体","03;04;05;07;08;10;12;13;14;16;17;18;32;33"
"63","a30cf0ae-535b-5f62-bcf8-d7361ddaf2f3","抢杠铃","2026-06-30","能力与学习;选择与自由;责任与后果;信用与信任;爱与回应;边界与许可;财富与市场;法律与秩序;技术与工程;人工智能与机器;心理与主体;性别与身体","02;03;04;05;06;07;08;10;12;13;14;16;17;18;28;29;32;33"
"64","8b35202b-98f5-56ef-b715-e232938a1c89","无色无味","2026-06-30","事实与证据;成本与总账;信用与信任;权力与异议;技术与工程","03;06;07;08;09;10;12;13;17;18;32;33"
"65","fee5260a-d799-55bd-93c6-41a5d3540084","自然直","2026-06-30","能力与学习;选择与自由;成本与总账;信用与信任;爱与回应;财富与市场;心理与主体;宗教与自然法","02;03;04;05;06;07;08;10;11;12;13;14;16;17;18"
"66","fa35c62a-72ac-5f83-806a-cbd66eaef0ab","三斗金","2026-06-29","能力与学习;选择与自由;责任与后果;成本与总账;净输出与不掠夺;边界与许可;劳动与组织;法律与秩序;技术与工程;心理与主体","02;03;05;06;07;08;10;12;13;14;16;17;18;32;33"
"67","502cfc6f-c122-5a9c-bbb9-a60f1ea5a25a","恩不分级","2026-06-29","事实与证据;定义与达意;责任与后果;净输出与不掠夺;法律与秩序","02;03;05;07;08;09;10;12;16;17;18"
"68","55e2ccc2-9f7c-51c1-89b4-c90ea1c68761","贫穷的尽头","2026-06-29","定义与达意;能力与学习;责任与后果;成本与总账;劳动与组织;财富与市场;法律与秩序;权力与异议;文明与历史","02;03;06;07;08;09;10;11;12;13;15;17;18;31;32;33"
"69","a05bf5e0-e374-5762-9491-68f824cea641","你好富二代","2026-06-29","能力与学习;信用与信任;劳动与组织;财富与市场;生态与自然","03;06;08;10;12;13;18;25;32"
"70","ace0aea5-99d9-5110-b9f2-6c83e040005f","大前门","2026-06-29","能力与学习;选择与自由;成本与总账;爱与回应;净输出与不掠夺;照料与家庭;劳动与组织;心理与主体","02;03;04;05;06;07;08;10;13;14;16;17;18"
"71","263a4cb3-5cac-5c79-b13a-1d771224dff0","犟子","2026-06-28","定义与达意;选择与自由;责任与后果;法律与秩序","02;03;07;09;10;12;16;17;18"
"72","3a0d174c-f654-5ce2-b2ec-60fb34b0c258","双毕业","2026-06-27","定义与达意;能力与学习;责任与后果;成本与总账;信用与信任;照料与家庭;劳动与组织;财富与市场;权力与异议","02;03;04;05;06;07;08;09;10;12;13;14;16;17;18"
"73","ae9edfa7-d975-5700-845d-3082a10680b9","摊牌忍者","2026-06-27","事实与证据;选择与自由;责任与后果;信用与信任;爱与回应;心理与主体","02;03;04;05;06;07;08;09;10;12;14;16;17;18"
"74","fc8bb6e0-acc0-50fb-813d-037e499df67c","clean start","2026-06-27","定义与达意;能力与学习;信用与信任;边界与许可;照料与家庭;权力与异议;心理与主体","03;04;05;06;07;08;09;12;13;14;16;17;18"
"75","26639f91-6db3-571c-af59-364e41e1b24e","NPC","2026-06-27","能力与学习;选择与自由;责任与后果;爱与回应;边界与许可;劳动与组织","02;03;04;05;06;07;08;10;12;13;14;16;18"
"76","a8fdb53f-15f9-5c30-bad8-7372ad185df2","勤为要","2026-06-26","能力与学习;选择与自由;责任与后果;照料与家庭","02;03;04;05;07;08;10;12;13;14;16;18"
"77","abf0a4ce-d142-580e-b306-4616001cb183","西线无战事","2026-06-26","能力与学习;选择与自由;成本与总账;爱与回应;文明与历史;心理与主体","02;03;04;05;07;08;10;11;13;14;15;16;17;18;31;32;33"
"78","b37796ff-6ee1-562d-9cc2-1ce50382c60e","宁静力","2026-06-26","能力与学习;选择与自由;责任与后果;成本与总账;劳动与组织;财富与市场;法律与秩序;技术与工程;心理与主体","02;03;06;07;08;10;12;13;14;16;17;18;32;33"
"79","f48ddf91-2686-5bbb-88d1-3644e94907d7","好美","2026-06-26","定义与达意;能力与学习;选择与自由;信用与信任;财富与市场;技术与工程","02;03;06;07;08;09;10;12;13;16;17;18;32;33"
"80","99a51c26-98ed-5aeb-a56a-c2be644d2779","续白诗","2026-06-25","成本与总账;劳动与组织;人工智能与机器","03;06;10;13;18;28;29;33"
"81","c28d9ed8-eec9-51c4-bf67-4f47e91c6912","屁股朝前","2026-06-25","责任与后果;成本与总账;信用与信任;财富与市场;技术与工程","02;03;06;10;12;13;17;18;32;33"
"82","be11fc4e-aa10-5562-b303-6cffcea4b6a9","当仁不让","2026-06-25","定义与达意;选择与自由;责任与后果;信用与信任;爱与回应;照料与家庭;法律与秩序;权力与异议","02;03;04;05;06;07;09;10;12;14;16;17;18"
"83","16c0cbf0-7c55-5956-af86-f80923eada77","少点歧视","2026-06-24","事实与证据;能力与学习;选择与自由;责任与后果;成本与总账;生态与自然","02;03;07;08;09;10;12;13;16;17;18;25;32"
"84","eb5c8088-f151-5249-a718-4ef7279880d1","救命书","2026-06-24","定义与达意;能力与学习;成本与总账;信用与信任;爱与回应;照料与家庭","03;04;05;06;08;09;10;12;13;14;16;17;18"
"85","f3ef4904-dcb3-5d06-835a-f0177ff33fa4","多余的不开心","2026-06-24","能力与学习;责任与后果;信用与信任;爱与回应;权力与异议","02;03;04;05;06;07;08;10;12;13;14;16;18"
"86","63aa195b-6c30-549f-b9d9-0452c144e2f3","稻谷咖啡","2026-06-24","定义与达意;能力与学习;责任与后果;爱与回应;照料与家庭;技术与工程;性别与身体","02;03;04;05;08;09;10;12;13;14;16;17;18;32;33"
"87","9608ccef-cb60-521d-a9a5-f477bab4bfd5","小宽","2026-06-24","定义与达意;选择与自由;信用与信任;爱与回应;边界与许可;权力与异议","02;03;04;05;06;07;09;12;14;16;17;18"
"88","0e572114-b072-5bbd-a5bd-fd0b5c2ef31f","蘸醋","2026-06-23","定义与达意;选择与自由;责任与后果;财富与市场;心理与主体","02;03;07;08;09;10;12;13;14;16;17;18"
"89","5530ea69-662b-5400-8fae-ad0a0a325e38","一碗油盐饭","2026-06-23","能力与学习;责任与后果;爱与回应;净输出与不掠夺;劳动与组织;生态与自然;心理与主体","02;03;04;05;06;08;10;12;13;14;16;17;18;25;32"
"90","bdbd1ec1-4516-571a-8e12-db95b0c99a88","环保猎人","2026-06-23","事实与证据;能力与学习;成本与总账;爱与回应;劳动与组织;技术与工程;生态与自然","03;04;05;06;08;09;10;13;14;16;17;18;25;32;33"
"91","bf9b4eb5-d380-5b55-915c-d000c8f22c27","爱自己","2026-06-23","能力与学习;成本与总账;爱与回应;净输出与不掠夺;边界与许可;照料与家庭","03;04;05;08;10;12;13;14;16;18"
"92","d050c428-49c5-5591-892f-796f1dd1879e","一万零一全","2026-06-23","事实与证据;责任与后果;劳动与组织;技术与工程","02;03;06;08;09;10;12;13;17;18;32;33"
"93","1ebceeb1-26da-536f-bfcd-d43f91f25b8d","云阶","2026-06-22","定义与达意;责任与后果;照料与家庭;财富与市场;心理与主体","02;03;04;05;08;09;10;12;13;14;16;17;18"
"94","79a28019-c9f4-5777-bb7e-dffa92ab679d","你我之交","2026-06-22","定义与达意;能力与学习;成本与总账;爱与回应;照料与家庭;劳动与组织;财富与市场;权力与异议","03;04;05;06;07;08;09;10;12;13;14;16;17;18"
"95","87f504be-9ec1-513f-9ef2-35b5afb76690","有恋无爱","2026-06-22","定义与达意;爱与回应;净输出与不掠夺;权力与异议","03;04;05;07;09;12;14;16;17;18"
"96","ca3e2033-6991-50e4-84b8-8ca371a16748","我心不满","2026-06-22","定义与达意;能力与学习;责任与后果;成本与总账;信用与信任;爱与回应","02;03;04;05;06;08;09;10;12;13;14;16;17;18"
"97","48fc9dc7-9e20-5b78-b9b3-c6e14181eaf9","我是你爷爷","2026-06-20","定义与达意;能力与学习;责任与后果;照料与家庭","02;03;04;05;08;09;10;12;13;14;16;17;18"
"98","2ea75a89-3b44-58bf-95eb-9a3a0e6c369e","冷且处理","2026-06-19","定义与达意;责任与后果;爱与回应;照料与家庭;财富与市场;心理与主体","02;03;04;05;08;09;10;12;13;14;16;17;18"
"99","239864fc-672d-5425-831f-58a85b942faa","再三之后","2026-06-18","责任与后果;成本与总账;爱与回应;净输出与不掠夺;照料与家庭;财富与市场;文明与历史;心理与主体","02;03;04;05;08;10;11;12;13;14;15;16;17;18;31;32;33"
"100","e476717b-2cf7-5a91-adb2-924fbec64dea","援亲","2026-06-18","定义与达意;责任与后果;成本与总账;信用与信任;净输出与不掠夺","02;03;05;06;09;10;12;16;17;18"
"101","bc474d87-a778-54ee-914c-dcdf73138a6d","大题大作","2026-06-18","定义与达意;选择与自由;责任与后果;信用与信任;爱与回应;边界与许可;法律与秩序;心理与主体","02;03;04;05;06;07;08;09;10;12;14;16;17;18"
"102","5bcb728b-4a1d-518d-a629-fc27f09df49e","锥子","2026-06-17","能力与学习;选择与自由;劳动与组织;技术与工程;心理与主体","02;06;07;08;10;13;14;16;17;18;32;33"
"103","c0660367-e479-5c22-bf3a-1bc1f483ed3d","纸逃城","2026-06-17","能力与学习;选择与自由;责任与后果;成本与总账;爱与回应;心理与主体","02;03;04;05;07;08;10;12;13;14;16;17;18"
"104","22b8e565-a37b-531a-896d-68604a4264bf","勿苛己","2026-06-17","事实与证据;能力与学习;选择与自由;责任与后果;法律与秩序;心理与主体","02;03;07;08;09;10;12;13;14;16;17;18"
"105","577b393b-67a1-5766-9651-8ecd742d17c9","探病","2026-06-15","事实与证据;定义与达意;责任与后果;成本与总账;爱与回应;边界与许可;照料与家庭;劳动与组织;心理与主体","02;03;04;05;06;08;09;10;12;13;14;16;17;18"
"106","a306129e-d5b1-544e-beeb-60e87483e02f","小算盘","2026-06-14","能力与学习;责任与后果;成本与总账;信用与信任;净输出与不掠夺;照料与家庭;技术与工程","02;03;04;05;06;08;10;12;13;14;16;17;18;32;33"
"107","04cf4d96-fc58-54bc-9545-f1a09748d1d7","负十八","2026-06-13","能力与学习;文明与历史;心理与主体","08;11;13;14;15;17;18;31;32;33"
"108","9a42c70d-c6f8-57cc-813b-058eff9c1a65","哭奶","2026-06-13","能力与学习;选择与自由;责任与后果;成本与总账;信用与信任;净输出与不掠夺;照料与家庭","02;03;04;05;06;07;08;10;12;13;14;16;18"
"109","c590e1e8-6daa-556d-928f-94a34d25a184","鬼话连篇","2026-06-13","定义与达意;能力与学习;选择与自由;成本与总账;边界与许可","02;03;05;07;08;09;10;12;13;16;17;18"
"110","38b7d4d0-539b-521c-8ef6-d42b988c6be1","酸友情","2026-06-13","事实与证据;能力与学习;信用与信任;爱与回应;劳动与组织;心理与主体","03;04;05;06;08;09;10;12;13;14;16;17;18"
"111","1cfec0b4-fb45-5f40-95be-420000cda248","如蒙不弃","2026-06-12","能力与学习;爱与回应;边界与许可","04;05;08;12;13;14;16;18"
"112","607caf96-19f4-5d98-9829-9e70c706877f","四海为家","2026-06-11","能力与学习;责任与后果;爱与回应;劳动与组织;文明与历史;民族与身份;生态与自然;性别与身体","02;03;04;05;06;08;10;11;12;13;14;15;16;18;25;27;31;32;33"
"113","cbf06b16-bd70-5662-a798-111ae72eeafa","不插电","2026-06-11","定义与达意;选择与自由;责任与后果;成本与总账;边界与许可;照料与家庭;权力与异议;心理与主体","02;03;04;05;07;08;09;10;12;14;16;17;18"
"114","e74bc219-6ba4-54e7-8dd3-33cf205c3009","尊重的前提","2026-06-11","定义与达意;能力与学习;选择与自由;责任与后果;照料与家庭;权力与异议;心理与主体","02;03;04;05;07;08;09;10;12;13;14;16;17;18"
"115","b41e4c82-7300-5dc8-9146-e3de86d16674","如己","2026-06-10","选择与自由;爱与回应;技术与工程;心理与主体;性别与身体","02;04;05;07;08;13;14;16;17;18;32;33"
"116","d8dd2ec7-b290-5931-8702-c8109d8545ca","勿自疑","2026-06-09","责任与后果;爱与回应","02;03;04;05;10;12;14;16;18"
"117","6fb08d39-0a3e-5fa9-b572-0e6ae9791bb9","圆滑2","2026-06-08","能力与学习;责任与后果;劳动与组织","02;03;06;08;10;12;13;18"
"118","4614c6c1-d48d-5eaf-9add-6c6ad70aa42d","以正视听","2026-06-07","能力与学习;选择与自由;责任与后果;成本与总账;信用与信任;照料与家庭","02;03;04;05;06;07;08;10;12;13;14;16;18"
"119","0214ec45-35a8-58ed-96d5-cd726149d10f","傻辉的爱","2026-06-05","爱与回应;财富与市场;心理与主体","03;04;05;08;10;13;14;16;17;18"
"120","05560f89-6f4c-5dd9-bbad-08cdeb4e07ba","延历寺","2026-06-05","选择与自由;责任与后果;成本与总账;边界与许可;劳动与组织","02;03;05;06;07;10;12;13;16;18"
"121","2f4296c0-b9be-5bde-93fe-28743198c351","色之为性也","2026-06-05","事实与证据;定义与达意;能力与学习;选择与自由;责任与后果;法律与秩序;文明与历史;生态与自然","02;03;07;08;09;10;11;12;13;15;16;17;18;25;31;32;33"
"122","5cee0244-616f-5e86-af29-a2dde5a6a224","错信","2026-06-05","能力与学习;选择与自由;责任与后果;成本与总账;信用与信任;劳动与组织;权力与异议;心理与主体","02;03;06;07;08;10;12;13;14;16;17;18"
"123","049b2aa6-0752-584f-86bd-0f94acd09569","欲与还休","2026-06-05","选择与自由;责任与后果;成本与总账;信用与信任;技术与工程;性别与身体","02;03;05;06;07;10;12;13;14;16;17;18;32;33"
"124","f52eb7c8-d75f-535f-a115-2d4098b93f1d","等因奉此","2026-06-04","事实与证据;责任与后果;成本与总账;劳动与组织;权力与异议;文明与历史","02;03;06;07;08;09;10;11;12;13;15;17;18;31;32;33"
"125","aa4cd5de-d4c0-5eb0-b0a6-c9c8cfc97112","十字军","2026-06-03","定义与达意;能力与学习;成本与总账;文明与历史;民族与身份","03;08;09;10;11;12;13;15;17;18;27;31;32;33"
"126","466f7b8c-c951-5e93-a7f8-dd9c091f613d","基本颜值","2026-06-02","责任与后果;成本与总账","02;03;10;12;18"
"127","97aed0c8-5326-57a7-a020-b31124698b43","奶婚","2026-06-02","选择与自由;责任与后果;成本与总账;爱与回应;权力与异议;心理与主体","02;03;04;05;07;08;10;12;14;16;17;18"
"128","bef7bbd9-4704-5eff-a357-e9a8afc12094","这山望着那山高","2026-06-02","事实与证据;文明与历史","08;09;11;13;15;17;31;32;33"
"129","190a0b7a-45d7-50b3-b4e0-d5731b737ded","沉吟至今","2026-06-02","事实与证据;文明与历史;性别与身体","05;08;09;11;13;14;15;16;17;31;32;33"
"130","96f118d4-77b3-50fe-8bd1-c407ea8fcd4e","休息处","2026-06-02","事实与证据;责任与后果;边界与许可;心理与主体;宗教与自然法","02;03;05;07;08;09;10;11;12;14;16;17;18"
"131","660c2ce5-bb23-5c33-9b63-fdd242332b73","唯一对手","2026-06-01","事实与证据;能力与学习;选择与自由;责任与后果;成本与总账;信用与信任;边界与许可;照料与家庭;劳动与组织","02;03;04;05;06;07;08;09;10;12;13;14;16;17;18"
