"evidenceId","trajectory","period","ordinal","id","title","date","platform","url","authorClaim","evidenceNature","conditions","quote","quoteStart","paragraphIndex","cleanEvidencePresent"
"D04-2021-2023","D04_自由边界与退出","2021-2023","2756","eaa1d952-119f-5ebd-88ec-3093430f7530","爱的底线","2022-06-09","Zhihu","https://www.zhihu.com/question/536742851/answer/2521863879","爱带有预先存在的行动底线，主体可以祈求回应，却不能把祈求升级为要求。","底线命题＋权限划界","保留表达愿望；取消的是对他人回应的强制要求。","你可以祈求（pray），但你不能要求。一丝一毫都不行。","2169","48","True"
"D04-2024-2026","D04_自由边界与退出","2024-2026","11","8db8f172-3520-5077-a078-2c9578ebaf39","一寸欢喜","2026-07-13","Zhihu","https://www.zhihu.com/question/2039110884006604997/answer/2041179100837058049","爱首先承认对方自由；反对、不资助和阻止是不同动作。","关系拆分＋行动边界","自由不要求父母必须出资，也不取消成年行动者承担后果。","爱的第一要义是要接受人的自由。","371","13","True"
"D05-2018-2020","D05_爱回应与不掠夺","2018-2020","3803","557cd798-03d7-57fd-a7a4-14f743e1ba13","凭爱分手","2020-04-27","Zhihu","https://www.zhihu.com/question/308996023/answer/1183361290","爱要按付出、有效性和被爱者实际净所得计算，失败不能转成向对方追债。","公式化总账＋责任回收","公式是作者的关系模型；不表示所有情感价值都可精确计量。","被爱者的净所得N = 爱者的付出P*爱者的有效性系数E - 被爱者的无效性U","1716","40","True"
"D05-2021-2023","D05_爱回应与不掠夺","2021-2023","2235","bc0b8aa6-c51e-5c02-8b44-64f7c256154f","录取线","2023-05-20","Zhihu","https://www.zhihu.com/question/599385566/answer/3036675225","爱是否成立不由行动者自我宣布，也不只由接受者感受裁决，而要看客观净输出。","判准压缩＋经济心理双账","净输出可以很小；做得不出色与完全不是爱被作者区分。","你所行的是不是爱，标准既不在你手里，也不在对方手里，而在客观算法手里。","489","9","True"
"D05-2024-2026","D05_爱回应与不掠夺","2024-2026","434","9a72db20-919b-5a27-839d-2a80125dc09b","赛道","2025-12-10","Zhihu","https://www.zhihu.com/question/1980626690943242269/answer/1982078262525048744","亲密关系若存在竞争，竞争方向应是减少争夺、索债与掠夺。","竞争反转＋关系判准","不争不等于不投入；双方仍可交换并相互净赠与。","爱如果是竞争，那么它争的就是不争。","2038","62","True"
"D06-2018-2020","D06_劳动财富与分配","2018-2020","3794","1a0c33e3-e996-5f61-a55e-751991bbdfa0","全球化与失业","2020-05-13","Zhihu","https://www.zhihu.com/question/333947385/answer/1219847484","劳动需求下降会使分配问题从怎样生产转向谁有资格获得技术和全球化成果。","历史趋势判断＋分配方案","劳动趋势和税收效果属于作者的外部事实判断，本文只记录其论证位置。","可以说数学上看，唯一有效的补救方法就是对富人征大额的遗产税和所得税，重新分配给穷人。","592","12","True"
"D06-2021-2023","D06_劳动财富与分配","2021-2023","3175","ad556f54-6be5-5da3-ae98-0591d1ff359a","资本家2","2021-07-27","Zhihu","https://www.zhihu.com/question/465354913/answer/2023654379","资本家以配置和出借资本分享利润，企业家则直接承担把事情做成的生产决策。","角色定义＋功能分账","同一人可以兼具角色；该区分不自动证明现实权力已经平衡。","资本家，是指以出借资本来分享利润的人。","42","3","True"
"D06-2024-2026","D06_劳动财富与分配","2024-2026","711","05d3be97-1b30-5c13-8330-1c5bb3992838","两个钱包","2025-06-26","Afdian","https://afdian.com/p/b1a6164a4c7211f0bedc52540025c377","劳动合作产生的超额收益可以覆盖部分社交损耗，退出劳动也会失去这部分补偿资源。","公式模型＋反事实比较","只有劳动剩余大于社交损耗时纯利为正，并非所有合作都成立。","劳动获利 - 劳动过程中社交损耗 = 劳动纯利。","378","17","True"
"D07-2018-2020","D07_组织技术与公共能力","2018-2020","3926","5a32a445-202b-593a-a880-21c3716cd9cc","5G","2019-06-08","Zhihu","https://www.zhihu.com/question/314766480/answer/708378659","技术基础设施变化在改变成本结构后会触发组织、制造和协作方式的联动变化。","系统推演＋成本阈值","具体5G产业预测是作者当时的未来判断，不作为已验证结果。","当改变的成本低于不改变的成本，改变就会到来","2422","41","True"
"D07-2021-2023","D07_组织技术与公共能力","2021-2023","2737","8dedae32-f1a6-56bb-a836-49d58f2d86d4","组织能力","2022-06-19","Zhihu","https://www.zhihu.com/question/451665490/answer/2535089067","组织能力是成员推动组织有效完成共同目标并留下可继承能力，而非私人获领袖认可。","明示定义＋继承性检验","组织外部反馈和随个人离开即消失的技能不能单独算作组织能力。","你是服务于组织，还是服务于组织的领袖个人，这个问题你一定要分清。","1336","21","True"
"D07-2024-2026","D07_组织技术与公共能力","2024-2026","6","afd418f9-36d1-5652-8f90-188680e6cfbf","胜半子","2026-07-14","Zhihu","https://www.zhihu.com/question/2042176040638707165/answer/2042645041164837579","当前做不出最小单元并不必然终止竞争，可以选择较易实现、能积累工艺并继续迭代的替代路线。","约束接受＋路径比较","结论只是有机会赢半子，不是已经证明全面领先。","因为我们目前做不出小单元格，所以我们决定用大单元格叠两层的办法解决问题。","14","2","True"
"D08-2018-2020","D08_自然法伦理与风险","2018-2020","3952","0d2e3bdf-c978-59ad-b127-abde090ff2c0","约伯","2019-03-15","Zhihu","https://www.zhihu.com/question/20365357/answer/623230181","善行是无现世对价的义务，不能用行善向神或他人索取必然回报。","宗教解释＋反交易命题","无对价不取消文本后段关于文明合作成本的另一条世俗论证。","你行善，是一种义务，没有任何对价的义务。","2221","30","True"
"D08-2021-2023","D08_自然法伦理与风险","2021-2023","3442","4e7ea5d1-018f-5e57-839c-f91e3065007d","自然法","2021-03-14","Zhihu","https://www.zhihu.com/question/304501224/answer/1780036431","自然法是不同智慧主体在语言、风俗和契约不相通时仍会承认的约束交集。","思想实验＋明示定义","文章为保持问题意义采用狭义自然法，广义还包含自然规律。","这个交集里装着的，就是自然法。","340","13","True"
"D08-2024-2026","D08_自然法伦理与风险","2024-2026","1","9af3f757-ffb6-5c9e-b461-afdf9ccea949","奠仪几何","2026-07-17","Afdian","https://www.ifdian.net/p/85097b3e7bd011f1978652540025c377","伦理可以借责任、礼数和声誉后果为行动设置强硬轨道。","行动示范＋机制命题","轨道成立依赖提问者先履行费用责任，并接受最后可能亏本。","伦理其实是一件武器，学会巧妙的运用，你可以为人的行为设立强硬的轨道，随时可以限制住事态向你不希望的方向发展。","695","24","True"
