"window","windowLabel","dateRule","period","periodLabel","articleCount","term","literal","authorHitArticleCount","authorArticleCoverage","authorArticleCoverageUnrounded","fullLexicalHitArticleCount","excludedQuoteOnlyHitArticleCount","authorOccurrenceCount","occurrencesPer100kAuthorNonWhitespaceChars","occurrencesPer100kAuthorNonWhitespaceCharsUnrounded","fullLexicalOccurrenceCount","excludedQuoteOccurrenceCount","authorTextCharCount","authorNonWhitespaceCharCount","fullLexicalCharCount","fullLexicalNonWhitespaceCharCount","excludedTopLevelQuoteCharCount"
"full_period","三阶段原始完整窗口","各阶段纳入知乎子集中全部日期；晚期2026仅有截至2026-07-14的知乎观测","middle","2021-2023","1635","ethics","伦理","141","0.08623853","0.08623853211009175","142","1","255","14.937754","14.93775350246385","256","1","1709131","1707084","1730807","1728215","21676"
"full_period","三阶段原始完整窗口","各阶段纳入知乎子集中全部日期；晚期2026仅有截至2026-07-14的知乎观测","middle","2021-2023","1635","fact","事实","403","0.24648318","0.24648318042813455","404","1","856","50.143988","50.14398822787865","862","6","1709131","1707084","1730807","1728215","21676"
"full_period","三阶段原始完整窗口","各阶段纳入知乎子集中全部日期；晚期2026仅有截至2026-07-14的知乎观测","middle","2021-2023","1635","ability","能力","485","0.29663609","0.2966360856269113","485","0","1136","66.546227","66.54622736783895","1139","3","1709131","1707084","1730807","1728215","21676"
"full_period","三阶段原始完整窗口","各阶段纳入知乎子集中全部日期；晚期2026仅有截至2026-07-14的知乎观测","late","2024-2026","1119","love","爱","354","0.31635389","0.3163538873994638","360","6","1592","146.357159","146.3571592737302","1651","59","1089436","1087750","1135597","1133766","46161"
"full_period","三阶段原始完整窗口","各阶段纳入知乎子集中全部日期；晚期2026仅有截至2026-07-14的知乎观测","late","2024-2026","1119","naturalLaw","自然法","69","0.0616622","0.06166219839142091","69","0","128","11.76741","11.767409790852678","128","0","1089436","1087750","1135597","1133766","46161"
"full_period","三阶段原始完整窗口","各阶段纳入知乎子集中全部日期；晚期2026仅有截至2026-07-14的知乎观测","late","2024-2026","1119","labor","劳动","81","0.07238606","0.07238605898123325","81","0","161","14.801195","14.801195127556884","189","28","1089436","1087750","1135597","1133766","46161"
"full_period","三阶段原始完整窗口","各阶段纳入知乎子集中全部日期；晚期2026仅有截至2026-07-14的知乎观测","late","2024-2026","1119","responsibility","责任","173","0.15460232","0.1546023235031278","176","3","382","35.118364","35.11836359457596","389","7","1089436","1087750","1135597","1133766","46161"
"full_period","三阶段原始完整窗口","各阶段纳入知乎子集中全部日期；晚期2026仅有截至2026-07-14的知乎观测","late","2024-2026","1119","freedom","自由","150","0.13404826","0.13404825737265416","150","0","285","26.200873","26.200873362445414","287","2","1089436","1087750","1135597","1133766","46161"
"full_period","三阶段原始完整窗口","各阶段纳入知乎子集中全部日期；晚期2026仅有截至2026-07-14的知乎观测","late","2024-2026","1119","ethics","伦理","70","0.06255585","0.06255585344057193","70","0","115","10.572282","10.572282233969203","115","0","1089436","1087750","1135597","1133766","46161"
"full_period","三阶段原始完整窗口","各阶段纳入知乎子集中全部日期；晚期2026仅有截至2026-07-14的知乎观测","late","2024-2026","1119","fact","事实","209","0.18677391","0.1867739052725648","211","2","316","29.050793","29.05079292116755","318","2","1089436","1087750","1135597","1133766","46161"
"full_period","三阶段原始完整窗口","各阶段纳入知乎子集中全部日期；晚期2026仅有截至2026-07-14的知乎观测","late","2024-2026","1119","ability","能力","278","0.2484361","0.2484361036639857","284","6","544","50.011492","50.01149161112388","561","17","1089436","1087750","1135597","1133766","46161"
"exclude_2026","晚期排除2026","早中期不变；晚期仅纳入2024-01-01至2025-12-31","early","2018-2020","513","love","爱","112","0.21832359","0.21832358674463936","113","1","552","80.726775","80.72677496534014","568","16","684605","683788","693135","692254","8530"
"exclude_2026","晚期排除2026","早中期不变；晚期仅纳入2024-01-01至2025-12-31","early","2018-2020","513","naturalLaw","自然法","8","0.01559454","0.015594541910331383","8","0","22","3.217371","3.217371466009933","22","0","684605","683788","693135","692254","8530"
"exclude_2026","晚期排除2026","早中期不变；晚期仅纳入2024-01-01至2025-12-31","early","2018-2020","513","labor","劳动","29","0.05653021","0.056530214424951264","29","0","64","9.359626","9.359626082937986","64","0","684605","683788","693135","692254","8530"
"exclude_2026","晚期排除2026","早中期不变；晚期仅纳入2024-01-01至2025-12-31","early","2018-2020","513","responsibility","责任","83","0.16179337","0.1617933723196881","83","0","181","26.470193","26.470192515808993","181","0","684605","683788","693135","692254","8530"
"exclude_2026","晚期排除2026","早中期不变；晚期仅纳入2024-01-01至2025-12-31","early","2018-2020","513","freedom","自由","85","0.16569201","0.16569200779727095","85","0","207","30.272541","30.27254061200255","207","0","684605","683788","693135","692254","8530"
"exclude_2026","晚期排除2026","早中期不变；晚期仅纳入2024-01-01至2025-12-31","early","2018-2020","513","ethics","伦理","67","0.13060429","0.13060428849902533","68","1","131","19.157985","19.157984638513692","132","1","684605","683788","693135","692254","8530"
"exclude_2026","晚期排除2026","早中期不变；晚期仅纳入2024-01-01至2025-12-31","early","2018-2020","513","fact","事实","150","0.29239766","0.29239766081871343","150","0","376","54.987803","54.98780323726067","376","0","684605","683788","693135","692254","8530"
"exclude_2026","晚期排除2026","早中期不变；晚期仅纳入2024-01-01至2025-12-31","early","2018-2020","513","ability","能力","188","0.36647173","0.3664717348927875","188","0","554","81.019263","81.01926328043194","554","0","684605","683788","693135","692254","8530"
"exclude_2026","晚期排除2026","早中期不变；晚期仅纳入2024-01-01至2025-12-31","middle","2021-2023","1635","love","爱","424","0.25932722","0.25932721712538226","427","3","1852","108.489096","108.48909602573745","1882","30","1709131","1707084","1730807","1728215","21676"
"exclude_2026","晚期排除2026","早中期不变；晚期仅纳入2024-01-01至2025-12-31","middle","2021-2023","1635","naturalLaw","自然法","54","0.03302752","0.03302752293577982","55","1","134","7.849643","7.849643016981004","135","1","1709131","1707084","1730807","1728215","21676"
"exclude_2026","晚期排除2026","早中期不变；晚期仅纳入2024-01-01至2025-12-31","middle","2021-2023","1635","labor","劳动","71","0.04342508","0.04342507645259939","71","0","157","9.19697","9.196969803477744","157","0","1709131","1707084","1730807","1728215","21676"
"exclude_2026","晚期排除2026","早中期不变；晚期仅纳入2024-01-01至2025-12-31","middle","2021-2023","1635","responsibility","责任","278","0.17003058","0.17003058103975535","279","1","685","40.126906","40.12690646740289","690","5","1709131","1707084","1730807","1728215","21676"
"exclude_2026","晚期排除2026","早中期不变；晚期仅纳入2024-01-01至2025-12-31","middle","2021-2023","1635","freedom","自由","242","0.14801223","0.14801223241590214","243","1","593","34.737599","34.737599321415935","596","3","1709131","1707084","1730807","1728215","21676"
"exclude_2026","晚期排除2026","早中期不变；晚期仅纳入2024-01-01至2025-12-31","middle","2021-2023","1635","ethics","伦理","141","0.08623853","0.08623853211009175","142","1","255","14.937754","14.93775350246385","256","1","1709131","1707084","1730807","1728215","21676"
"exclude_2026","晚期排除2026","早中期不变；晚期仅纳入2024-01-01至2025-12-31","middle","2021-2023","1635","fact","事实","403","0.24648318","0.24648318042813455","404","1","856","50.143988","50.14398822787865","862","6","1709131","1707084","1730807","1728215","21676"
"exclude_2026","晚期排除2026","早中期不变；晚期仅纳入2024-01-01至2025-12-31","middle","2021-2023","1635","ability","能力","485","0.29663609","0.2966360856269113","485","0","1136","66.546227","66.54622736783895","1139","3","1709131","1707084","1730807","1728215","21676"
"exclude_2026","晚期排除2026","早中期不变；晚期仅纳入2024-01-01至2025-12-31","late","2024-2026","868","love","爱","251","0.28917051","0.2891705069124424","253","2","1084","131.856316","131.8563155404345","1112","28","823654","822107","845095","843479","21441"
"exclude_2026","晚期排除2026","早中期不变；晚期仅纳入2024-01-01至2025-12-31","late","2024-2026","868","naturalLaw","自然法","61","0.0702765","0.07027649769585254","61","0","115","13.988447","13.988446759363441","115","0","823654","822107","845095","843479","21441"
"exclude_2026","晚期排除2026","早中期不变；晚期仅纳入2024-01-01至2025-12-31","late","2024-2026","868","labor","劳动","60","0.06912442","0.06912442396313365","60","0","129","15.691388","15.691388103981598","157","28","823654","822107","845095","843479","21441"
"exclude_2026","晚期排除2026","早中期不变；晚期仅纳入2024-01-01至2025-12-31","late","2024-2026","868","responsibility","责任","136","0.15668203","0.15668202764976957","137","1","305","37.099794","37.0997935791813","307","2","823654","822107","845095","843479","21441"
"exclude_2026","晚期排除2026","早中期不变；晚期仅纳入2024-01-01至2025-12-31","late","2024-2026","868","freedom","自由","122","0.140553","0.14055299539170507","122","0","240","29.19328","29.193280193454136","242","2","823654","822107","845095","843479","21441"
"exclude_2026","晚期排除2026","早中期不变；晚期仅纳入2024-01-01至2025-12-31","late","2024-2026","868","ethics","伦理","62","0.07142857","0.07142857142857142","62","0","106","12.893699","12.89369875210891","106","0","823654","822107","845095","843479","21441"
"exclude_2026","晚期排除2026","早中期不变；晚期仅纳入2024-01-01至2025-12-31","late","2024-2026","868","fact","事实","159","0.18317972","0.18317972350230416","161","2","250","30.409667","30.409666868181393","252","2","823654","822107","845095","843479","21441"
"exclude_2026","晚期排除2026","早中期不变；晚期仅纳入2024-01-01至2025-12-31","late","2024-2026","868","ability","能力","195","0.22465438","0.22465437788018433","197","2","352","42.816811","42.8168109503994","357","5","823654","822107","845095","843479","21441"
"matched_jan01_jun30","等月份窗口","每个构成年只纳入1月1日至6月30日（含首尾，即六个完整月份）","early","2018-2020","185","love","爱","32","0.17297297","0.17297297297297298","32","0","178","67.7097","67.7097003655563","186","8","263200","262887","268288","267931","5088"
"matched_jan01_jun30","等月份窗口","每个构成年只纳入1月1日至6月30日（含首尾，即六个完整月份）","early","2018-2020","185","naturalLaw","自然法","4","0.02162162","0.021621621621621623","4","0","15","5.705874","5.705873626310924","15","0","263200","262887","268288","267931","5088"
"matched_jan01_jun30","等月份窗口","每个构成年只纳入1月1日至6月30日（含首尾，即六个完整月份）","early","2018-2020","185","labor","劳动","9","0.04864865","0.04864864864864865","9","0","35","13.313705","13.313705128058825","35","0","263200","262887","268288","267931","5088"
"matched_jan01_jun30","等月份窗口","每个构成年只纳入1月1日至6月30日（含首尾，即六个完整月份）","early","2018-2020","185","responsibility","责任","35","0.18918919","0.1891891891891892","35","0","93","35.376416","35.376416483127734","93","0","263200","262887","268288","267931","5088"
"matched_jan01_jun30","等月份窗口","每个构成年只纳入1月1日至6月30日（含首尾，即六个完整月份）","early","2018-2020","185","freedom","自由","32","0.17297297","0.17297297297297298","32","0","85","32.333284","32.333283882428574","85","0","263200","262887","268288","267931","5088"
"matched_jan01_jun30","等月份窗口","每个构成年只纳入1月1日至6月30日（含首尾，即六个完整月份）","early","2018-2020","185","ethics","伦理","28","0.15135135","0.15135135135135136","29","1","58","22.062711","22.06271135506891","59","1","263200","262887","268288","267931","5088"
"matched_jan01_jun30","等月份窗口","每个构成年只纳入1月1日至6月30日（含首尾，即六个完整月份）","early","2018-2020","185","fact","事实","56","0.3027027","0.3027027027027027","56","0","162","61.623435","61.62343516415798","162","0","263200","262887","268288","267931","5088"
"matched_jan01_jun30","等月份窗口","每个构成年只纳入1月1日至6月30日（含首尾，即六个完整月份）","early","2018-2020","185","ability","能力","69","0.37297297","0.372972972972973","69","0","200","76.078315","76.078315017479","200","0","263200","262887","268288","267931","5088"
"matched_jan01_jun30","等月份窗口","每个构成年只纳入1月1日至6月30日（含首尾，即六个完整月份）","middle","2021-2023","814","love","爱","230","0.28255528","0.28255528255528256","231","1","1058","117.916905","117.91690536109544","1084","26","898262","897242","912966","911592","14704"
"matched_jan01_jun30","等月份窗口","每个构成年只纳入1月1日至6月30日（含首尾，即六个完整月份）","middle","2021-2023","814","naturalLaw","自然法","19","0.02334152","0.02334152334152334","19","0","67","7.467328","7.4673276551922445","67","0","898262","897242","912966","911592","14704"
"matched_jan01_jun30","等月份窗口","每个构成年只纳入1月1日至6月30日（含首尾，即六个完整月份）","middle","2021-2023","814","labor","劳动","32","0.03931204","0.03931203931203931","32","0","80","8.916212","8.91621212560268","80","0","898262","897242","912966","911592","14704"
"matched_jan01_jun30","等月份窗口","每个构成年只纳入1月1日至6月30日（含首尾，即六个完整月份）","middle","2021-2023","814","responsibility","责任","142","0.17444717","0.17444717444717445","143","1","316","35.219038","35.21903789613059","318","2","898262","897242","912966","911592","14704"
"matched_jan01_jun30","等月份窗口","每个构成年只纳入1月1日至6月30日（含首尾，即六个完整月份）","middle","2021-2023","814","freedom","自由","126","0.15479115","0.1547911547911548","127","1","368","41.014576","41.01457577777233","369","1","898262","897242","912966","911592","14704"
"matched_jan01_jun30","等月份窗口","每个构成年只纳入1月1日至6月30日（含首尾，即六个完整月份）","middle","2021-2023","814","ethics","伦理","71","0.08722359","0.08722358722358722","72","1","125","13.931581","13.931581446254189","126","1","898262","897242","912966","911592","14704"
"matched_jan01_jun30","等月份窗口","每个构成年只纳入1月1日至6月30日（含首尾，即六个完整月份）","middle","2021-2023","814","fact","事实","210","0.25798526","0.257985257985258","211","1","479","53.38582","53.38582010204605","484","5","898262","897242","912966","911592","14704"
"matched_jan01_jun30","等月份窗口","每个构成年只纳入1月1日至6月30日（含首尾，即六个完整月份）","middle","2021-2023","814","ability","能力","262","0.32186732","0.32186732186732187","262","0","642","71.552602","71.55260230796151","643","1","898262","897242","912966","911592","14704"
"matched_jan01_jun30","等月份窗口","每个构成年只纳入1月1日至6月30日（含首尾，即六个完整月份）","late","2024-2026","691","love","爱","229","0.33140376","0.3314037626628075","234","5","1072","159.122215","159.12221536123118","1124","52","674751","673696","705126","703960","30375"
"matched_jan01_jun30","等月份窗口","每个构成年只纳入1月1日至6月30日（含首尾，即六个完整月份）","late","2024-2026","691","naturalLaw","自然法","46","0.06657019","0.06657018813314038","46","0","78","11.577922","11.577922386358239","78","0","674751","673696","705126","703960","30375"
"matched_jan01_jun30","等月份窗口","每个构成年只纳入1月1日至6月30日（含首尾，即六个完整月份）","late","2024-2026","691","labor","劳动","42","0.06078148","0.060781476121562955","42","0","76","11.281053","11.281052581579821","76","0","674751","673696","705126","703960","30375"
"matched_jan01_jun30","等月份窗口","每个构成年只纳入1月1日至6月30日（含首尾，即六个完整月份）","late","2024-2026","691","responsibility","责任","114","0.16497829","0.1649782923299566","116","2","269","39.928989","39.928988742697","274","5","674751","673696","705126","703960","30375"
"matched_jan01_jun30","等月份窗口","每个构成年只纳入1月1日至6月30日（含首尾，即六个完整月份）","late","2024-2026","691","freedom","自由","87","0.12590449","0.12590448625180897","87","0","156","23.155845","23.155844772716478","156","0","674751","673696","705126","703960","30375"
"matched_jan01_jun30","等月份窗口","每个构成年只纳入1月1日至6月30日（含首尾，即六个完整月份）","late","2024-2026","691","ethics","伦理","36","0.05209841","0.05209840810419682","36","0","67","9.945138","9.945138460076949","67","0","674751","673696","705126","703960","30375"
"matched_jan01_jun30","等月份窗口","每个构成年只纳入1月1日至6月30日（含首尾，即六个完整月份）","late","2024-2026","691","fact","事实","121","0.17510854","0.17510853835021709","121","0","184","27.312022","27.312022039614305","184","0","674751","673696","705126","703960","30375"
"matched_jan01_jun30","等月份窗口","每个构成年只纳入1月1日至6月30日（含首尾，即六个完整月份）","late","2024-2026","691","ability","能力","186","0.26917511","0.2691751085383502","190","4","351","52.100651","52.100650738612075","360","9","674751","673696","705126","703960","30375"
"matched_jan01_jun30_exclude_2018","等月份且排除2018窗口","每个构成年只纳入1月1日至6月30日（含首尾），并排除知乎仅从6月11日起观测的2018年","early","2018-2020","182","love","爱","32","0.17582418","0.17582417582417584","32","0","178","68.691656","68.69165550748855","186","8","259442","259129","264530","264173","5088"
"matched_jan01_jun30_exclude_2018","等月份且排除2018窗口","每个构成年只纳入1月1日至6月30日（含首尾），并排除知乎仅从6月11日起观测的2018年","early","2018-2020","182","naturalLaw","自然法","4","0.02197802","0.02197802197802198","4","0","15","5.788623","5.788622655125439","15","0","259442","259129","264530","264173","5088"
"matched_jan01_jun30_exclude_2018","等月份且排除2018窗口","每个构成年只纳入1月1日至6月30日（含首尾），并排除知乎仅从6月11日起观测的2018年","early","2018-2020","182","labor","劳动","8","0.04395604","0.04395604395604396","8","0","34","13.120878","13.12087801828433","34","0","259442","259129","264530","264173","5088"
"matched_jan01_jun30_exclude_2018","等月份且排除2018窗口","每个构成年只纳入1月1日至6月30日（含首尾），并排除知乎仅从6月11日起观测的2018年","early","2018-2020","182","responsibility","责任","34","0.18681319","0.18681318681318682","34","0","92","35.503552","35.50355228476936","92","0","259442","259129","264530","264173","5088"
"matched_jan01_jun30_exclude_2018","等月份且排除2018窗口","每个构成年只纳入1月1日至6月30日（含首尾），并排除知乎仅从6月11日起观测的2018年","early","2018-2020","182","freedom","自由","32","0.17582418","0.17582417582417584","32","0","85","32.802195","32.802195045710825","85","0","259442","259129","264530","264173","5088"
"matched_jan01_jun30_exclude_2018","等月份且排除2018窗口","每个构成年只纳入1月1日至6月30日（含首尾），并排除知乎仅从6月11日起观测的2018年","early","2018-2020","182","ethics","伦理","28","0.15384615","0.15384615384615385","29","1","58","22.382674","22.382674266485033","59","1","259442","259129","264530","264173","5088"
"matched_jan01_jun30_exclude_2018","等月份且排除2018窗口","每个构成年只纳入1月1日至6月30日（含首尾），并排除知乎仅从6月11日起观测的2018年","early","2018-2020","182","fact","事实","54","0.2967033","0.2967032967032967","54","0","156","60.201676","60.20167561330457","156","0","259442","259129","264530","264173","5088"
"matched_jan01_jun30_exclude_2018","等月份且排除2018窗口","每个构成年只纳入1月1日至6月30日（含首尾），并排除知乎仅从6月11日起观测的2018年","early","2018-2020","182","ability","能力","66","0.36263736","0.3626373626373626","66","0","191","73.708462","73.70846180859726","191","0","259442","259129","264530","264173","5088"
"matched_jan01_jun30_exclude_2018","等月份且排除2018窗口","每个构成年只纳入1月1日至6月30日（含首尾），并排除知乎仅从6月11日起观测的2018年","middle","2021-2023","814","love","爱","230","0.28255528","0.28255528255528256","231","1","1058","117.916905","117.91690536109544","1084","26","898262","897242","912966","911592","14704"
"matched_jan01_jun30_exclude_2018","等月份且排除2018窗口","每个构成年只纳入1月1日至6月30日（含首尾），并排除知乎仅从6月11日起观测的2018年","middle","2021-2023","814","naturalLaw","自然法","19","0.02334152","0.02334152334152334","19","0","67","7.467328","7.4673276551922445","67","0","898262","897242","912966","911592","14704"
"matched_jan01_jun30_exclude_2018","等月份且排除2018窗口","每个构成年只纳入1月1日至6月30日（含首尾），并排除知乎仅从6月11日起观测的2018年","middle","2021-2023","814","labor","劳动","32","0.03931204","0.03931203931203931","32","0","80","8.916212","8.91621212560268","80","0","898262","897242","912966","911592","14704"
"matched_jan01_jun30_exclude_2018","等月份且排除2018窗口","每个构成年只纳入1月1日至6月30日（含首尾），并排除知乎仅从6月11日起观测的2018年","middle","2021-2023","814","responsibility","责任","142","0.17444717","0.17444717444717445","143","1","316","35.219038","35.21903789613059","318","2","898262","897242","912966","911592","14704"
"matched_jan01_jun30_exclude_2018","等月份且排除2018窗口","每个构成年只纳入1月1日至6月30日（含首尾），并排除知乎仅从6月11日起观测的2018年","middle","2021-2023","814","freedom","自由","126","0.15479115","0.1547911547911548","127","1","368","41.014576","41.01457577777233","369","1","898262","897242","912966","911592","14704"
"matched_jan01_jun30_exclude_2018","等月份且排除2018窗口","每个构成年只纳入1月1日至6月30日（含首尾），并排除知乎仅从6月11日起观测的2018年","middle","2021-2023","814","ethics","伦理","71","0.08722359","0.08722358722358722","72","1","125","13.931581","13.931581446254189","126","1","898262","897242","912966","911592","14704"
"matched_jan01_jun30_exclude_2018","等月份且排除2018窗口","每个构成年只纳入1月1日至6月30日（含首尾），并排除知乎仅从6月11日起观测的2018年","middle","2021-2023","814","fact","事实","210","0.25798526","0.257985257985258","211","1","479","53.38582","53.38582010204605","484","5","898262","897242","912966","911592","14704"
"matched_jan01_jun30_exclude_2018","等月份且排除2018窗口","每个构成年只纳入1月1日至6月30日（含首尾），并排除知乎仅从6月11日起观测的2018年","middle","2021-2023","814","ability","能力","262","0.32186732","0.32186732186732187","262","0","642","71.552602","71.55260230796151","643","1","898262","897242","912966","911592","14704"
"matched_jan01_jun30_exclude_2018","等月份且排除2018窗口","每个构成年只纳入1月1日至6月30日（含首尾），并排除知乎仅从6月11日起观测的2018年","late","2024-2026","691","love","爱","229","0.33140376","0.3314037626628075","234","5","1072","159.122215","159.12221536123118","1124","52","674751","673696","705126","703960","30375"
"matched_jan01_jun30_exclude_2018","等月份且排除2018窗口","每个构成年只纳入1月1日至6月30日（含首尾），并排除知乎仅从6月11日起观测的2018年","late","2024-2026","691","naturalLaw","自然法","46","0.06657019","0.06657018813314038","46","0","78","11.577922","11.577922386358239","78","0","674751","673696","705126","703960","30375"
"matched_jan01_jun30_exclude_2018","等月份且排除2018窗口","每个构成年只纳入1月1日至6月30日（含首尾），并排除知乎仅从6月11日起观测的2018年","late","2024-2026","691","labor","劳动","42","0.06078148","0.060781476121562955","42","0","76","11.281053","11.281052581579821","76","0","674751","673696","705126","703960","30375"
"matched_jan01_jun30_exclude_2018","等月份且排除2018窗口","每个构成年只纳入1月1日至6月30日（含首尾），并排除知乎仅从6月11日起观测的2018年","late","2024-2026","691","responsibility","责任","114","0.16497829","0.1649782923299566","116","2","269","39.928989","39.928988742697","274","5","674751","673696","705126","703960","30375"
"matched_jan01_jun30_exclude_2018","等月份且排除2018窗口","每个构成年只纳入1月1日至6月30日（含首尾），并排除知乎仅从6月11日起观测的2018年","late","2024-2026","691","freedom","自由","87","0.12590449","0.12590448625180897","87","0","156","23.155845","23.155844772716478","156","0","674751","673696","705126","703960","30375"
"matched_jan01_jun30_exclude_2018","等月份且排除2018窗口","每个构成年只纳入1月1日至6月30日（含首尾），并排除知乎仅从6月11日起观测的2018年","late","2024-2026","691","ethics","伦理","36","0.05209841","0.05209840810419682","36","0","67","9.945138","9.945138460076949","67","0","674751","673696","705126","703960","30375"
"matched_jan01_jun30_exclude_2018","等月份且排除2018窗口","每个构成年只纳入1月1日至6月30日（含首尾），并排除知乎仅从6月11日起观测的2018年","late","2024-2026","691","fact","事实","121","0.17510854","0.17510853835021709","121","0","184","27.312022","27.312022039614305","184","0","674751","673696","705126","703960","30375"
"matched_jan01_jun30_exclude_2018","等月份且排除2018窗口","每个构成年只纳入1月1日至6月30日（含首尾），并排除知乎仅从6月11日起观测的2018年","late","2024-2026","691","ability","能力","186","0.26917511","0.2691751085383502","190","4","351","52.100651","52.100650738612075","360","9","674751","673696","705126","703960","30375"
