term,author_usage,adjacent_concepts,boundary_or_opposite,domains,conditions_exceptions,representative_id,representative_title,source_quote,chronology,evidence_type
"授权","权柄来自被共同体、制度或具体委托者授予的职责范围，不因个人自认正义而自动成立。","责任；权柄；程序；服从","私自执法；越权；道德自封","组织；法律；家庭；公共秩序","紧急自卫与正式执法须区分；授权范围之外仍需程序。","d4d427c5-38df-5cd1-931b-d0ad6a4fd6c0","瞎义警","世界上最大的是非，是权柄。","2026年权柄论清晰；早期国家法律文本已有服从与程序讨论。","明示命题"
"服从","在合法或被认可的权柄、职责和共同规则下接受指令；不等于对任何强力或身份无条件屈从。","授权；秩序；责任；异议","盲从；越权命令；私人支配","国家；职场；家庭；军事","命令的来源、范围和后果决定服从义务；文本同时保留异议和退出。","d4d427c5-38df-5cd1-931b-d0ad6a4fd6c0","瞎义警","你不能直接撸起袖子去“执法”。","2026年多从授权反向界定服从；早期文本更多讨论秩序。","跨文概念重建"
"退出","当关系或组织不再把自己视为成员、责任与收益无法重新协商时，停止继续投入并离开。","边界；选择；止损；自由","无限忍耐；以退出逃避既有义务","职场；亲密关系；组织；市场","退出不能抹去已经产生的责任和赔偿；也不必等到所有人同意。","4323b869-06ea-5335-a116-9418e052e7a4","靶向药","而是要赶紧走","2026年行动建议常见；早期文本已有市场退出和关系止损。","跨文重复"
"礼仪","把关系中的身份、感谢、主次和可接受行为转成公开可见的程序，使参与者知道如何行动。","伦理；信用；社会资本；体面","失礼；喧宾夺主；只剩形式","亲属；婚礼；职场；公共交往","礼仪必须服务真实责任和关系结构；形式若遮蔽主角或成本，会改变性质。","6f4bef26-7da0-52f4-ba36-4b31bc224b4d","喧宾夺主","否则你就会从“办婚礼”不可避免的转向“办晚会”。","2026年场景化定义丰富；早期文本亦重视礼数和秩序。","跨文重复"
"社会资本","由声望、信誉、易合作性、低报复性和建设性等评价形成的非货币资产，可转成关系、托付、借贷和支持。","信用；礼仪；互惠；关系账户","孤立占便宜；透支关系；虚假姿态","家庭；亲属；职场；社区；公共秩序","必须以可持续的真实行为积累；不能把一次操纵直接视为稳定资本。","8be80072-b42a-569b-9b77-f4ca432b3fea","面子","给丢脸做一个准确的定义——“丢脸”就是个人社会资本的迅速流失。","原词最迟2020年出现，2020年用于全球化分析，2024年《面子》给出集中定义。","明示命题+跨文重复"
"劳动","在不确定条件下投入时间、技能和体力，把意愿变成有效结果；劳动也是获得资源与承担责任的接口。","能力；效能；财富；祈祷","空愿望；无效消耗；只凭身份索取","经济；家庭；职业；宗教伦理","劳动不保证特定回报；运气、公共条件和他人协作仍被计入。","2133f3d8-4ccb-5c0f-9c09-1539ab21c794","财富观","你劳动，实际上是一种对上天的祷告","2020年财富伦理集中论述；2026年扩展为家庭和组织分工。","明示命题+跨文重复"
"效能","行动在现实条件下产生预期结果的能力；善意、努力或立场不能替代效果检验。","能力；技术路径；反馈；可持续性","无效坚持；只看动机；不可验证","教育；技术；公益；组织","效果须受事实、规律和实验支持；低概率改善仍可构成行动理由。","c0242e43-fb16-5f73-8461-49d9bed4f8d1","艰难谈话的基本原则","它们的效能，是尽可能的激发对方的善意和积极态度，尽可能友好的达成你要的结果。","2026年直接以是否达成预期结果说明效能；早期文本已以有效劳动和可持续性表达。","明示命题+跨文概念重建"
"自然法","不依赖个人好恶而持续生效的物理、生态、激励和社会后果；常以可持续性和反馈显现。","规律；成本；可持续性；天意","主观善意；一次侥幸；任意命令","宗教；财富；生态；社会秩序","自然法在不同文章中有宗教和世俗两种语言，二者不能被视为完全同义。","4e7ea5d1-018f-5e57-839c-f91e3065007d","自然法","这个交集里装着的，就是自然法。","2021年给出狭义自然法的明示定义；前后文本另以客观规律、成本和反馈扩展其用法。","明示定义+跨文分析性重建"
"伦理","为行为设置可预期轨道的规则和实践技术，使失礼、失德与声誉后果共同约束选择。","礼仪；责任；信用；社会资本","只讲私利；任意强迫；空泛说教","家庭；亲属；职场；公共生活","伦理手段须嵌入可被理解的正当责任；文本不把所有强制都称为伦理。","9af3f757-ffb6-5c9e-b461-afdf9ccea949","奠仪几何","伦理其实是一件武器","2026年出现直接工具性定义；早期文本更多以自然法和责任表达。","明示命题"
"尊重","承认对方原有能力、自由和拒绝权，并把自己的帮助理解为可能多余的介入，而非可索取回报的功劳。","自由；边界；不居功；信任","控制；居功；以保护换取青睐","性别；亲密关系；职场；家庭","单次表态不能证明尊重；须看长期冲突中是否居功和越界。","03c701aa-9760-5272-9215-6de6a61ce6f9","尊者","真诚的人不会拿这个居功","2026年定义明确；早期文本亦有承认自主和拒绝权。","明示区分"
"边界","明确角色、服务、私人空间和责任到何处为止，使帮助不转化为占用或无限义务。","尊重；授权；退出；隐私","角色混同；越界；无限责任","服务业；亲密关系；家庭；组织","边界可随角色和场景切换；工作礼貌不等于开放私人关系。","26639f91-6db3-571c-af59-364e41e1b24e","NPC","一穿上制服，一踏进酒店，你就不是你了。","2026年角色边界表述密集；早期文本以职责范围表达。","跨文重复"
"合作","各方贡献数据、流程、稳定环境和劳动，并能分享功劳与收益的共同产出关系。","分功；感谢；责任；互惠","单人吞功；把同事视为阻碍；单向索取","职场；家庭；组织；产业","贡献可以是直接劳动，也可以是提供未被破坏的稳定环境；感谢不能替代实际分配。","359095f1-02f7-5cfb-ac88-a2add28d06ca","后半句","事情要做好，还要让同事们分得到功劳。","2026年组织场景集中；早期文本已有分工和互惠。","明示命题"
"经验","对事件、成败和环境的记录经整理后形成可传递判断，用于后来者应对变化。","记录；数据；智慧；规划","神谕式完备真理；忘却；只凭抽象推演","历史；教育；技术；家庭","经验不保证直接复制成功；必须结合新条件修正。","3d0daabb-8f65-5e52-b6b0-03280864f723","史不绝书","数据出经验，经验出智慧，智慧保繁荣。","2026年明确提出链条；早期教育和技术文本已依靠经验。","明示命题"
"技术路径","在现有约束下先做出可运行方案，并通过工具、工艺和迭代积累逐步改进，而非只比较理论单项指标。","效能；经验；可实现性；产业能力","参数崇拜；一次性终局；不可制造的上限","科技；产业；教育；组织","路线优势是条件性机会，不等于已经获胜；须保留后续变体。","afd418f9-36d1-5652-8f90-188680e6cfbf","胜半子","因为我们目前做不出小单元格，所以我们决定用大单元格叠两层的办法解决问题。","2026年半导体文本直接呈现；2018年狩猎文本已有系统成本思路。","文章级明示+跨文重建"
"焦虑","面对风险和不确定性的警觉；适度时可推动准备，失控时会通过反复自责和过度监护增加新的负担。","安全；规划；无能认同；信任","麻木；无限巡查；自我戕害","心理；育儿；教育；工作","不能把所有焦虑都当作应消除对象；需区分适度训练、现实风险与自我叠加。","101192ad-8c18-5d1a-abfe-c6d8e7727c38","砼","你的恐慌又要在巨石上加一两。","2026年以焦虑自我叠加说明失控机制；早期文本多从风险和竞争解释。","明示因果+跨文重复"
"尊严","主体不被侮辱、物化或因接受帮助而取消功劳的自我与关系位置。","尊重；能力；功劳；边界","羞辱；跪求；把帮助等同于无能","亲密关系；教育；职场；家庭","尊严不等于拒绝帮助；关键是帮助后仍承认主体的实际贡献。","4878f245-bcf4-52f7-8daa-3a0ad9e46ae8","有所成","其实根本不存在所谓的“接受了帮助，自己就没有功劳”这回事。","2026年直接讨论帮助与功劳；早期关系文本已有反羞辱判断。","明示命题"
"宽容","允许关系中的反应不完美、兴趣不一致和偶发摩擦，以可道歉、可恢复的低压基线维持长久关系。","松弛；道歉；信任；长期关系","时时照顾；强迫热情；故意伤害","友情；婚恋；职场","宽容不包括故意冷漠和伤害；需求长期不匹配时可承认无法承担。","ed1a358b-b31d-5945-b776-b8573ecaa0c4","松则久","从容轻松，才可长久。","2026年关系文本集中；早期文本已有容错性。","明示命题"
"妥协","在价值和利益不能完全一致时，把目标降到各方可接受、可持续的改善区间。","宽容；自由；和平；成本","除恶务尽；消灭异议；无限让步","公共秩序；家庭；组织；关系","妥协不是取消底线；违法、不可逆伤害和基本安全仍构成边界。","c9e76d20-ad76-500f-95eb-be07ade6e9f1","满分70","满分就是70分。","2026年形成公共目标表述；早期关系文本多用协商。","明示命题"
"纪念","让亡者、先辈和共同经历继续进入生者的意义结构，维系代际责任与长期投入。","记录；家族；爱；传承","遗忘；绝祀；只剩现世即时收益","家庭；历史；礼仪；文明","纪念不等于证明亡者仍获现实利益；文章重点是其对生者意义的作用。","a604bf02-e52d-5e1f-91c6-81dfade38ed7","悼亡存活","纪念是最基本的爱，我们不该吝啬。","2026年集中表达；早期历史与家庭文本已有祖先传承。","明示命题"
"记录","把经验、功过、灾难和工序保存为后来者可调用的数据，使一代人的损失不必从零重复。","经验；智慧；历史；传承","遗忘；只争正统；无材料的断言","历史；家庭；技术；治理","记录需要在新情境中解释，不能把旧案例机械复制为永恒答案。","3d0daabb-8f65-5e52-b6b0-03280864f723","史不绝书","中国人没有神谕，只有经验，所以热爱记录历史。","2026年明确提出中国记录论；早期语料本身持续采用案例积累。","明示命题"
