"period","platform","groupArticleCount","term","fullTextArticleCount","authorTextArticleCount","quoteOnlyArticleCount","fullTextRate","authorTextRate","rateDelta","fullTextOccurrenceCount","authorTextOccurrenceCount"
"2017","Zhihu","1","反抗","0","0","0","0","0","0","0","0"
"2017","Zhihu","1","技术","0","0","0","0","0","0","0","0"
"2017","Zhihu","1","自然法","0","0","0","0","0","0","0","0"
"2017","Zhihu","1","伦理","0","0","0","0","0","0","0","0"
"2017","Zhihu","1","道德","0","0","0","0","0","0","0","0"
"2018-2020","Zhihu","513","事实","150","150","0","0.292398","0.292398","0","376","376"
"2018-2020","Zhihu","513","证据","32","32","0","0.062378","0.062378","0","75","75"
"2018-2020","Zhihu","513","定义","80","80","0","0.155945","0.155945","0","163","162"
"2018-2020","Zhihu","513","能力","188","188","0","0.366472","0.366472","0","554","554"
"2018-2020","Zhihu","513","学习","42","42","0","0.081871","0.081871","0","71","71"
"2018-2020","Zhihu","513","教育","68","68","0","0.132554","0.132554","0","172","171"
"2018-2020","Zhihu","513","选择","166","166","0","0.323587","0.323587","0","478","477"
"2018-2020","Zhihu","513","自由","85","85","0","0.165692","0.165692","0","207","207"
"2018-2020","Zhihu","513","责任","83","83","0","0.161793","0.161793","0","181","181"
"2018-2020","Zhihu","513","义务","53","53","0","0.103314","0.103314","0","119","119"
"2018-2020","Zhihu","513","后果","62","62","0","0.120858","0.120858","0","101","100"
"2018-2020","Zhihu","513","成本","116","116","0","0.226121","0.226121","0","293","290"
"2018-2020","Zhihu","513","风险","63","63","0","0.122807","0.122807","0","102","102"
"2018-2020","Zhihu","513","资源","91","91","0","0.177388","0.177388","0","161","161"
"2018-2020","Zhihu","513","总账","1","1","0","0.001949","0.001949","0","1","1"
"2018-2020","Zhihu","513","信用","20","20","0","0.038986","0.038986","0","34","34"
"2018-2020","Zhihu","513","信任","24","24","0","0.046784","0.046784","0","35","35"
"2018-2020","Zhihu","513","承诺","13","13","0","0.025341","0.025341","0","22","22"
"2018-2020","Zhihu","513","爱","113","112","1","0.220273","0.218324","0.001949","568","552"
"2018-2020","Zhihu","513","净输出","4","4","0","0.007797","0.007797","0","11","11"
"2018-2020","Zhihu","513","不掠夺","0","0","0","0","0","0","0","0"
"2018-2020","Zhihu","513","劳动","29","29","0","0.05653","0.05653","0","64","64"
"2018-2020","Zhihu","513","产出","13","13","0","0.025341","0.025341","0","19","19"
"2018-2020","Zhihu","513","财富","35","35","0","0.068226","0.068226","0","136","133"
"2018-2020","Zhihu","513","社会资本","3","3","0","0.005848","0.005848","0","7","7"
"2018-2020","Zhihu","513","权利","52","52","0","0.101365","0.101365","0","101","101"
"2018-2020","Zhihu","513","权力","40","40","0","0.077973","0.077973","0","92","92"
"2018-2020","Zhihu","513","授权","10","10","0","0.019493","0.019493","0","42","42"
"2018-2020","Zhihu","513","服从","21","21","0","0.040936","0.040936","0","69","69"
"2018-2020","Zhihu","513","反抗","13","13","0","0.025341","0.025341","0","13","13"
"2018-2020","Zhihu","513","技术","85","85","0","0.165692","0.165692","0","308","307"
"2018-2020","Zhihu","513","自然法","8","8","0","0.015595","0.015595","0","22","22"
"2018-2020","Zhihu","513","伦理","68","67","1","0.132554","0.130604","0.001949","132","131"
"2018-2020","Zhihu","513","道德","59","58","1","0.11501","0.11306","0.001949","131","129"
"2021-2023","Afdian","41","事实","11","11","0","0.268293","0.268293","0","23","23"
"2021-2023","Afdian","41","证据","1","1","0","0.02439","0.02439","0","1","1"
"2021-2023","Afdian","41","定义","8","8","0","0.195122","0.195122","0","12","12"
"2021-2023","Afdian","41","能力","12","12","0","0.292683","0.292683","0","29","29"
"2021-2023","Afdian","41","学习","4","4","0","0.097561","0.097561","0","7","7"
"2021-2023","Afdian","41","教育","7","7","0","0.170732","0.170732","0","20","20"
"2021-2023","Afdian","41","选择","14","14","0","0.341463","0.341463","0","49","49"
"2021-2023","Afdian","41","自由","9","9","0","0.219512","0.219512","0","18","18"
"2021-2023","Afdian","41","责任","12","12","0","0.292683","0.292683","0","37","37"
"2021-2023","Afdian","41","义务","4","4","0","0.097561","0.097561","0","7","7"
"2021-2023","Afdian","41","后果","4","4","0","0.097561","0.097561","0","7","7"
"2021-2023","Afdian","41","成本","13","13","0","0.317073","0.317073","0","30","30"
"2021-2023","Afdian","41","风险","9","9","0","0.219512","0.219512","0","13","13"
"2021-2023","Afdian","41","资源","6","6","0","0.146341","0.146341","0","18","18"
"2021-2023","Afdian","41","总账","0","0","0","0","0","0","0","0"
"2021-2023","Afdian","41","信用","2","2","0","0.04878","0.04878","0","4","4"
"2021-2023","Afdian","41","信任","2","2","0","0.04878","0.04878","0","4","4"
"2021-2023","Afdian","41","承诺","1","1","0","0.02439","0.02439","0","1","1"
"2021-2023","Afdian","41","爱","14","14","0","0.341463","0.341463","0","66","66"
"2021-2023","Afdian","41","净输出","0","0","0","0","0","0","0","0"
"2021-2023","Afdian","41","不掠夺","0","0","0","0","0","0","0","0"
"2021-2023","Afdian","41","劳动","6","6","0","0.146341","0.146341","0","10","10"
"2021-2023","Afdian","41","产出","2","2","0","0.04878","0.04878","0","3","3"
"2021-2023","Afdian","41","财富","3","3","0","0.073171","0.073171","0","8","8"
"2021-2023","Afdian","41","社会资本","0","0","0","0","0","0","0","0"
"2021-2023","Afdian","41","权利","4","4","0","0.097561","0.097561","0","8","8"
"2021-2023","Afdian","41","权力","5","5","0","0.121951","0.121951","0","20","20"
"2021-2023","Afdian","41","授权","1","1","0","0.02439","0.02439","0","8","8"
"2021-2023","Afdian","41","服从","0","0","0","0","0","0","0","0"
"2021-2023","Afdian","41","反抗","1","1","0","0.02439","0.02439","0","2","2"
"2021-2023","Afdian","41","技术","3","3","0","0.073171","0.073171","0","9","9"
"2021-2023","Afdian","41","自然法","3","3","0","0.073171","0.073171","0","5","5"
"2021-2023","Afdian","41","伦理","6","6","0","0.146341","0.146341","0","10","10"
"2021-2023","Afdian","41","道德","4","4","0","0.097561","0.097561","0","7","7"
"2021-2023","Zhihu","1635","事实","404","403","1","0.247095","0.246483","0.000612","862","856"
"2021-2023","Zhihu","1635","证据","115","112","3","0.070336","0.068502","0.001835","209","206"
"2021-2023","Zhihu","1635","定义","159","159","0","0.097248","0.097248","0","258","258"
"2021-2023","Zhihu","1635","能力","485","485","0","0.296636","0.296636","0","1139","1136"
"2021-2023","Zhihu","1635","学习","148","147","1","0.09052","0.089908","0.000612","286","282"
"2021-2023","Zhihu","1635","教育","175","175","0","0.107034","0.107034","0","392","392"
"2021-2023","Zhihu","1635","选择","447","446","1","0.273394","0.272783","0.000612","915","912"
"2021-2023","Zhihu","1635","自由","243","242","1","0.148624","0.148012","0.000612","596","593"
"2021-2023","Zhihu","1635","责任","279","278","1","0.170642","0.170031","0.000612","690","685"
"2021-2023","Zhihu","1635","义务","178","177","1","0.108869","0.108257","0.000612","392","390"
"2021-2023","Zhihu","1635","后果","166","165","1","0.101529","0.100917","0.000612","250","249"
"2021-2023","Zhihu","1635","成本","370","370","0","0.2263","0.2263","0","851","849"
"2021-2023","Zhihu","1635","风险","247","247","0","0.15107","0.15107","0","527","527"
"2021-2023","Zhihu","1635","资源","226","226","0","0.138226","0.138226","0","451","424"
"2021-2023","Zhihu","1635","总账","7","7","0","0.004281","0.004281","0","10","10"
"2021-2023","Zhihu","1635","信用","49","49","0","0.029969","0.029969","0","72","72"
"2021-2023","Zhihu","1635","信任","61","61","0","0.037309","0.037309","0","90","90"
"2021-2023","Zhihu","1635","承诺","64","63","1","0.039144","0.038532","0.000612","119","117"
"2021-2023","Zhihu","1635","爱","427","424","3","0.261162","0.259327","0.001835","1882","1852"
"2021-2023","Zhihu","1635","净输出","7","7","0","0.004281","0.004281","0","25","25"
"2021-2023","Zhihu","1635","不掠夺","2","2","0","0.001223","0.001223","0","2","2"
"2021-2023","Zhihu","1635","劳动","71","71","0","0.043425","0.043425","0","157","157"
"2021-2023","Zhihu","1635","产出","21","21","0","0.012844","0.012844","0","28","28"
"2021-2023","Zhihu","1635","财富","84","84","0","0.051376","0.051376","0","178","178"
"2021-2023","Zhihu","1635","社会资本","2","2","0","0.001223","0.001223","0","2","2"
"2021-2023","Zhihu","1635","权利","173","172","1","0.10581","0.105199","0.000612","408","400"
"2021-2023","Zhihu","1635","权力","90","89","1","0.055046","0.054434","0.000612","138","131"
"2021-2023","Zhihu","1635","授权","47","46","1","0.028746","0.028135","0.000612","71","69"
"2021-2023","Zhihu","1635","服从","51","51","0","0.031193","0.031193","0","189","188"
"2021-2023","Zhihu","1635","反抗","45","45","0","0.027523","0.027523","0","76","76"
"2021-2023","Zhihu","1635","技术","202","202","0","0.123547","0.123547","0","410","400"
"2021-2023","Zhihu","1635","自然法","55","54","1","0.033639","0.033028","0.000612","135","134"
"2021-2023","Zhihu","1635","伦理","142","141","1","0.08685","0.086239","0.000612","256","255"
"2021-2023","Zhihu","1635","道德","152","151","1","0.092966","0.092355","0.000612","313","312"
"2024-2026","Afdian","741","事实","163","161","2","0.219973","0.217274","0.002699","259","256"
"2024-2026","Afdian","741","证据","46","46","0","0.062078","0.062078","0","89","89"
"2024-2026","Afdian","741","定义","53","51","2","0.071525","0.068826","0.002699","89","86"
"2024-2026","Afdian","741","能力","235","226","9","0.317139","0.304993","0.012146","575","561"
"2024-2026","Afdian","741","学习","116","102","14","0.156545","0.137652","0.018893","287","261"
"2024-2026","Afdian","741","教育","93","87","6","0.125506","0.117409","0.008097","164","156"
"2024-2026","Afdian","741","选择","187","181","6","0.252362","0.244265","0.008097","390","382"
"2024-2026","Afdian","741","自由","123","121","2","0.165992","0.163293","0.002699","262","260"
"2024-2026","Afdian","741","责任","136","134","2","0.183536","0.180837","0.002699","283","278"
"2024-2026","Afdian","741","义务","101","100","1","0.136302","0.134953","0.00135","209","207"
"2024-2026","Afdian","741","后果","100","99","1","0.134953","0.133603","0.00135","139","138"
"2024-2026","Afdian","741","成本","146","145","1","0.197031","0.195682","0.00135","318","316"
"2024-2026","Afdian","741","风险","135","134","1","0.182186","0.180837","0.00135","245","242"
"2024-2026","Afdian","741","资源","140","139","1","0.188934","0.187584","0.00135","263","258"
"2024-2026","Afdian","741","总账","5","5","0","0.006748","0.006748","0","6","6"
"2024-2026","Afdian","741","信用","42","41","1","0.05668","0.055331","0.00135","73","72"
"2024-2026","Afdian","741","信任","49","47","2","0.066127","0.063428","0.002699","69","65"
"2024-2026","Afdian","741","承诺","40","39","1","0.053981","0.052632","0.00135","76","74"
"2024-2026","Afdian","741","爱","276","266","10","0.37247","0.358974","0.013495","1169","1122"
"2024-2026","Afdian","741","净输出","3","3","0","0.004049","0.004049","0","8","8"
"2024-2026","Afdian","741","不掠夺","0","0","0","0","0","0","0","0"
"2024-2026","Afdian","741","劳动","59","59","0","0.079622","0.079622","0","168","168"
"2024-2026","Afdian","741","产出","8","8","0","0.010796","0.010796","0","15","15"
"2024-2026","Afdian","741","财富","33","33","0","0.044534","0.044534","0","45","45"
"2024-2026","Afdian","741","社会资本","1","1","0","0.00135","0.00135","0","1","1"
"2024-2026","Afdian","741","权利","57","57","0","0.076923","0.076923","0","99","99"
"2024-2026","Afdian","741","权力","37","36","1","0.049933","0.048583","0.00135","51","49"
"2024-2026","Afdian","741","授权","13","13","0","0.017544","0.017544","0","16","16"
"2024-2026","Afdian","741","服从","19","19","0","0.025641","0.025641","0","32","32"
"2024-2026","Afdian","741","反抗","13","13","0","0.017544","0.017544","0","28","28"
"2024-2026","Afdian","741","技术","70","68","2","0.094467","0.091768","0.002699","121","119"
"2024-2026","Afdian","741","自然法","59","59","0","0.079622","0.079622","0","129","129"
"2024-2026","Afdian","741","伦理","46","46","0","0.062078","0.062078","0","74","74"
"2024-2026","Afdian","741","道德","58","55","3","0.078273","0.074224","0.004049","104","100"
"2024-2026","Zhihu","1119","事实","211","209","2","0.188561","0.186774","0.001787","318","316"
"2024-2026","Zhihu","1119","证据","49","49","0","0.043789","0.043789","0","79","79"
"2024-2026","Zhihu","1119","定义","69","68","1","0.061662","0.060769","0.000894","118","117"
"2024-2026","Zhihu","1119","能力","284","278","6","0.253798","0.248436","0.005362","561","544"
"2024-2026","Zhihu","1119","学习","119","112","7","0.106345","0.100089","0.006256","298","284"
"2024-2026","Zhihu","1119","教育","145","142","3","0.12958","0.126899","0.002681","311","293"
"2024-2026","Zhihu","1119","选择","289","283","6","0.258266","0.252904","0.005362","549","540"
"2024-2026","Zhihu","1119","自由","150","150","0","0.134048","0.134048","0","287","285"
"2024-2026","Zhihu","1119","责任","176","173","3","0.157283","0.154602","0.002681","389","382"
"2024-2026","Zhihu","1119","义务","116","115","1","0.103664","0.10277","0.000894","261","258"
"2024-2026","Zhihu","1119","后果","92","92","0","0.082216","0.082216","0","127","127"
"2024-2026","Zhihu","1119","成本","207","206","1","0.184987","0.184093","0.000894","418","406"
"2024-2026","Zhihu","1119","风险","190","188","2","0.169794","0.168007","0.001787","336","329"
"2024-2026","Zhihu","1119","资源","144","144","0","0.128686","0.128686","0","251","242"
"2024-2026","Zhihu","1119","总账","4","4","0","0.003575","0.003575","0","4","4"
"2024-2026","Zhihu","1119","信用","45","45","0","0.040214","0.040214","0","102","102"
"2024-2026","Zhihu","1119","信任","71","68","3","0.06345","0.060769","0.002681","130","122"
"2024-2026","Zhihu","1119","承诺","54","53","1","0.048257","0.047364","0.000894","121","117"
"2024-2026","Zhihu","1119","爱","360","354","6","0.321716","0.316354","0.005362","1651","1592"
"2024-2026","Zhihu","1119","净输出","4","4","0","0.003575","0.003575","0","8","8"
"2024-2026","Zhihu","1119","不掠夺","3","3","0","0.002681","0.002681","0","10","10"
"2024-2026","Zhihu","1119","劳动","81","81","0","0.072386","0.072386","0","189","161"
"2024-2026","Zhihu","1119","产出","9","9","0","0.008043","0.008043","0","11","11"
"2024-2026","Zhihu","1119","财富","62","62","0","0.055407","0.055407","0","99","99"
"2024-2026","Zhihu","1119","社会资本","5","5","0","0.004468","0.004468","0","21","21"
"2024-2026","Zhihu","1119","权利","84","83","1","0.075067","0.074173","0.000894","154","153"
"2024-2026","Zhihu","1119","权力","46","46","0","0.041108","0.041108","0","82","82"
"2024-2026","Zhihu","1119","授权","15","15","0","0.013405","0.013405","0","21","21"
"2024-2026","Zhihu","1119","服从","29","29","0","0.025916","0.025916","0","56","56"
"2024-2026","Zhihu","1119","反抗","25","24","1","0.022341","0.021448","0.000894","29","28"
"2024-2026","Zhihu","1119","技术","140","140","0","0.125112","0.125112","0","276","272"
"2024-2026","Zhihu","1119","自然法","69","69","0","0.061662","0.061662","0","128","128"
"2024-2026","Zhihu","1119","伦理","70","70","0","0.062556","0.062556","0","115","115"
"2024-2026","Zhihu","1119","道德","87","86","1","0.077748","0.076854","0.000894","151","147"
