"year","yearArticleCount","term","articleCount","articleRate","occurrenceCount"
"2020","326","证据","21","0.064417","48"
"2020","326","定义","52","0.159509","113"
"2020","326","能力","118","0.361963","341"
"2020","326","学习","30","0.092025","53"
"2020","326","教育","47","0.144172","90"
"2020","326","选择","101","0.309816","276"
"2020","326","自由","55","0.168712","135"
"2020","326","责任","56","0.171779","143"
"2020","326","义务","36","0.110429","86"
"2020","326","后果","43","0.131902","78"
"2020","326","成本","80","0.245399","196"
"2020","326","风险","44","0.134969","73"
"2020","326","资源","56","0.171779","83"
"2020","326","总账","0","0","0"
"2020","326","信用","14","0.042945","28"
"2020","326","信任","17","0.052147","27"
"2020","326","承诺","9","0.027607","16"
"2020","326","爱","78","0.239264","390"
"2020","326","净输出","2","0.006135","9"
"2020","326","不掠夺","0","0","0"
"2020","326","劳动","17","0.052147","40"
"2020","326","产出","8","0.02454","13"
"2020","326","财富","24","0.07362","115"
"2020","326","社会资本","3","0.009202","7"
"2020","326","权利","37","0.113497","66"
"2020","326","权力","29","0.088957","74"
"2020","326","授权","7","0.021472","31"
"2020","326","服从","13","0.039877","53"
"2020","326","反抗","6","0.018405","6"
"2020","326","技术","52","0.159509","181"
"2020","326","自然法","4","0.01227","18"
"2020","326","伦理","46","0.141104","86"
"2020","326","道德","40","0.122699","91"
"2021","625","事实","209","0.3344","475"
"2021","625","证据","58","0.0928","107"
"2021","625","定义","78","0.1248","145"
"2021","625","能力","213","0.3408","538"
"2021","625","学习","56","0.0896","105"
"2021","625","教育","67","0.1072","189"
"2021","625","选择","175","0.28","386"
"2021","625","自由","108","0.1728","270"
"2021","625","责任","118","0.1888","303"
"2021","625","义务","70","0.112","146"
"2021","625","后果","83","0.1328","131"
"2021","625","成本","138","0.2208","340"
"2021","625","风险","89","0.1424","222"
"2021","625","资源","95","0.152","195"
"2021","625","总账","2","0.0032","3"
"2021","625","信用","18","0.0288","24"
"2021","625","信任","28","0.0448","39"
"2021","625","承诺","23","0.0368","49"
"2021","625","爱","200","0.32","1031"
"2021","625","净输出","3","0.0048","6"
"2021","625","不掠夺","1","0.0016","1"
"2021","625","劳动","23","0.0368","63"
"2021","625","产出","11","0.0176","13"
"2021","625","财富","38","0.0608","77"
"2021","625","社会资本","2","0.0032","2"
"2021","625","权利","76","0.1216","171"
"2021","625","权力","40","0.064","64"
"2021","625","授权","24","0.0384","34"
"2021","625","服从","20","0.032","131"
"2021","625","反抗","14","0.0224","27"
"2021","625","技术","83","0.1328","190"
"2021","625","自然法","20","0.032","65"
"2021","625","伦理","67","0.1072","128"
"2021","625","道德","60","0.096","156"
"2022","445","事实","102","0.229213","186"
"2022","445","证据","23","0.051685","37"
"2022","445","定义","42","0.094382","65"
"2022","445","能力","120","0.269663","290"
"2022","445","学习","39","0.08764","79"
"2022","445","教育","45","0.101124","83"
"2022","445","选择","100","0.224719","206"
"2022","445","自由","61","0.137079","158"
"2022","445","责任","65","0.146067","150"
"2022","445","义务","43","0.096629","109"
"2022","445","后果","44","0.098876","56"
"2022","445","成本","96","0.21573","231"
"2022","445","风险","69","0.155056","117"
"2022","445","资源","54","0.121348","105"
"2022","445","总账","1","0.002247","1"
"2022","445","信用","14","0.031461","23"
"2022","445","信任","15","0.033708","24"
"2022","445","承诺","16","0.035955","25"
"2022","445","爱","95","0.213483","375"
"2022","445","净输出","1","0.002247","1"
"2022","445","不掠夺","1","0.002247","1"
"2022","445","劳动","19","0.042697","48"
"2022","445","产出","3","0.006742","5"
"2022","445","财富","22","0.049438","57"
"2022","445","社会资本","0","0","0"
"2022","445","权利","44","0.098876","122"
"2022","445","权力","22","0.049438","34"
"2022","445","授权","11","0.024719","23"
"2022","445","服从","16","0.035955","28"
"2022","445","反抗","14","0.031461","22"
"2022","445","技术","54","0.121348","102"
"2022","445","自然法","11","0.024719","26"
"2022","445","伦理","30","0.067416","45"
"2022","445","道德","30","0.067416","53"
"2023","606","事实","104","0.171617","224"
"2023","606","证据","35","0.057756","66"
"2023","606","定义","47","0.077558","60"
"2023","606","能力","164","0.270627","340"
"2023","606","学习","57","0.094059","109"
"2023","606","教育","70","0.115512","140"
"2023","606","选择","186","0.306931","372"
"2023","606","自由","83","0.136964","186"
"2023","606","责任","108","0.178218","274"
"2023","606","义务","69","0.113861","144"
"2023","606","后果","43","0.070957","70"
"2023","606","成本","149","0.245875","310"
"2023","606","风险","98","0.161716","201"
"2023","606","资源","83","0.136964","169"
"2023","606","总账","4","0.006601","6"
"2023","606","信用","19","0.031353","29"
"2023","606","信任","20","0.033003","31"
"2023","606","承诺","26","0.042904","46"
"2023","606","爱","146","0.240924","542"
"2023","606","净输出","3","0.00495","18"
"2023","606","不掠夺","0","0","0"
"2023","606","劳动","35","0.057756","56"
"2023","606","产出","9","0.014851","13"
"2023","606","财富","27","0.044554","52"
"2023","606","社会资本","0","0","0"
"2023","606","权利","57","0.094059","123"
"2023","606","权力","33","0.054455","60"
"2023","606","授权","13","0.021452","22"
"2023","606","服从","15","0.024752","30"
"2023","606","反抗","18","0.029703","29"
"2023","606","技术","68","0.112211","127"
"2023","606","自然法","27","0.044554","49"
"2023","606","伦理","51","0.084158","93"
"2023","606","道德","66","0.108911","111"
"2024","802","事实","167","0.208229","278"
"2024","802","证据","43","0.053616","85"
"2024","802","定义","46","0.057357","76"
"2024","802","能力","203","0.253117","363"
"2024","802","学习","82","0.102244","198"
"2024","802","教育","112","0.139651","219"
"2024","802","选择","224","0.279302","440"
"2024","802","自由","131","0.163342","284"
"2024","802","责任","143","0.178304","308"
"2024","802","义务","90","0.112219","209"
"2024","802","后果","91","0.113466","122"
"2024","802","成本","153","0.190773","313"
"2024","802","风险","142","0.177057","257"
"2024","802","资源","134","0.167082","234"
"2024","802","总账","3","0.003741","3"
"2024","802","信用","38","0.047382","79"
"2024","802","信任","42","0.052369","65"
"2024","802","承诺","46","0.057357","65"
"2024","802","爱","255","0.317955","1212"
"2024","802","净输出","3","0.003741","7"
"2024","802","不掠夺","1","0.001247","1"
"2024","802","劳动","58","0.072319","134"
"2024","802","产出","10","0.012469","11"
"2024","802","财富","46","0.057357","86"
"2024","802","社会资本","4","0.004988","19"
"2024","802","权利","74","0.092269","141"
"2024","802","权力","46","0.057357","68"
"2024","802","授权","12","0.014963","16"
"2024","802","服从","13","0.016209","20"
"2024","802","反抗","17","0.021197","21"
"2024","802","技术","88","0.109726","150"
"2024","802","自然法","66","0.082294","128"
"2024","802","伦理","67","0.083541","120"
"2024","802","道德","69","0.086035","114"
"2025","667","事实","128","0.191904","190"
"2025","667","证据","38","0.056972","64"
"2025","667","定义","50","0.074963","77"
"2025","667","能力","182","0.272864","462"
"2025","667","学习","79","0.118441","184"
"2025","667","教育","71","0.106447","147"
"2025","667","选择","150","0.224888","319"
"2025","667","自由","92","0.137931","169"
"2025","667","责任","109","0.163418","250"
"2025","667","义务","76","0.113943","149"
"2025","667","后果","71","0.106447","107"
"2025","667","成本","128","0.191904","248"
"2025","667","风险","112","0.167916","208"
"2025","667","资源","97","0.145427","165"
"2025","667","总账","2","0.002999","2"
"2025","667","信用","35","0.052474","67"
"2025","667","信任","35","0.052474","48"
"2025","667","承诺","27","0.04048","70"
"2025","667","爱","209","0.313343","760"
"2025","667","净输出","3","0.004498","7"
"2025","667","不掠夺","1","0.001499","8"
"2025","667","劳动","54","0.08096","166"
"2025","667","产出","4","0.005997","5"
"2025","667","财富","26","0.038981","31"
"2025","667","社会资本","0","0","0"
"2025","667","权利","44","0.065967","75"
"2025","667","权力","21","0.031484","39"
"2025","667","授权","9","0.013493","10"
"2025","667","服从","16","0.023988","36"
"2025","667","反抗","11","0.016492","24"
"2025","667","技术","86","0.128936","171"
"2025","667","自然法","45","0.067466","93"
"2025","667","伦理","38","0.056972","57"
"2025","667","道德","56","0.083958","108"
"2026","391","事实","79","0.202046","109"
"2026","391","证据","14","0.035806","19"
"2026","391","定义","26","0.066496","54"
"2026","391","能力","134","0.342711","311"
"2026","391","学习","74","0.189258","203"
"2026","391","教育","55","0.140665","109"
"2026","391","选择","102","0.26087","180"
"2026","391","自由","50","0.127877","96"
"2026","391","责任","60","0.153453","114"
"2026","391","义务","51","0.130435","112"
"2026","391","后果","30","0.076726","37"
"2026","391","成本","72","0.184143","175"
"2026","391","风险","71","0.181586","116"
"2026","391","资源","53","0.13555","115"
"2026","391","总账","4","0.01023","5"
"2026","391","信用","14","0.035806","29"
"2026","391","信任","43","0.109974","86"
"2026","391","承诺","21","0.053708","62"
"2026","391","爱","172","0.439898","848"
"2026","391","净输出","1","0.002558","2"
"2026","391","不掠夺","1","0.002558","1"
"2026","391","劳动","28","0.071611","57"
"2026","391","产出","3","0.007673","10"
"2026","391","财富","23","0.058824","27"
"2026","391","社会资本","2","0.005115","3"
"2026","391","权利","23","0.058824","37"
"2026","391","权力","16","0.040921","26"
"2026","391","授权","7","0.017903","11"
"2026","391","服从","19","0.048593","32"
"2026","391","反抗","10","0.025575","12"
"2026","391","技术","36","0.092072","76"
"2026","391","自然法","17","0.043478","36"
"2026","391","伦理","11","0.028133","12"
"2026","391","道德","20","0.051151","33"
