"propositionId","proposition","textualFunction","evidenceType","premises","reasoningMove","conclusionOrAction","conditionsExceptions","rebuttalTarget","domains","supportingIds","counterpointIds","representativeQuote","representativeId","representativeTitle","representativeDate","representativeUrl","chronology","primaryArgumentType","secondaryArgumentTypes"
"P12","父母是帮助孩子理解世界的阶段性受托者，不是永久上司。","角色命题","角色重定义+能力转移","儿童初期缺少调查与判断能力；成年后需自行承担判断后果。","把“老人有权命令”改写为“暂时代言世界并训练能力”。","从服从结论转向调查线索、验证原理，逐步收回判断权。","父母经验可作为线索；不因一次未听而否定其价值。","把父母意见设为永久命令，或把反抗当成能力。","家庭；教育；自主；代际","61843e2f-9230-5dc2-adf6-bb7b3416d5f6;8db8f172-3520-5077-a078-2c9578ebaf39","7c19a976-087f-5167-9d0e-23c1b80f67ad","你要吸取的教训不是“以后要听父母的”，而是要训练自己调查线索、验证原理的水平和能力","61843e2f-9230-5dc2-adf6-bb7b3416d5f6","不听老人言","2026-05-10","https://www.zhihu.com/question/1889581579178849918/answer/2033525184934715882","2024家庭环境论；2026将代际权威改写为能力训练。","角色与授权重定义","行动接口"
"P13","家庭决策须计算资源余量、心理容错和长期安全的总账。","总账命题","系统成本+绳索类比","教育和迁移可提高位置，也会耗尽储蓄、现金流和父母安全感。","把单项收益放入家庭资产、容错、情绪和长期支持的同一账本。","保留支持子女探索的余量，不以“尽全力”等同于耗尽资源。","不是否定进城或教育投入；要求比较总账与承受力。","只看眼前机会和名义投入，不看家庭缓冲。","家庭；教育；成本；安全","171a8ff5-4f98-5575-849e-46da57be1d50;118b1ce8-3d30-51f5-82eb-af8a008d0c04","","算账一定要算总账，这一点关节，父母们一定要心里有数。","171a8ff5-4f98-5575-849e-46da57be1d50","伤绳","2026-05-05","https://www.zhihu.com/question/1946636394383515889/answer/2032393124841006935","2026：家庭财务账与心理容错被放入同一总账。","账本与净值","单项扩展为系统;类比迁移"
"P14","父母不能只证明牺牲正确，还要用可持续生活让孩子重新相信家庭可以快乐。","修复命题","后果检验+目标回调","长期缺席已造成痛苦；“为了家”不能改变孩子经验。","从道德辩护转向工作、收入、陪伴和节俭的重新配置。","适当收缩野心、增加陪伴，以日常快乐重建未来家庭信心。","承认父母确有苦衷；不把贫穷本身设为目标。","用牺牲叙事替代关系修复。","家庭；陪伴；工作；心理","118b1ce8-3d30-51f5-82eb-af8a008d0c04;171a8ff5-4f98-5575-849e-46da57be1d50","a15b7aeb-2adf-565c-a240-a4b54cc970ef","ta有信心，重于一切。","118b1ce8-3d30-51f5-82eb-af8a008d0c04","快乐的信心","2026-07-07","https://www.ifdian.net/p/ba5af6c2732511f1b71f5254001e7c00","2024家庭系统方法；2026转向生活样式与代际信心。","行动接口","单项扩展为系统"
"P15","职场成果必须同时包含做好事情与让合作者分到功劳。","合作命题","补全句式+威胁推演","个人产出依赖数据、流程与安定环境；沉默卓越可能被读成威胁。","给“把工作做好”补上感谢和分功的后半句。","明确承认同事贡献，必要时用礼物和公开感谢稳定合作。","不要求放弃个人成果；只把合作部分说清。","把个人能力当作成果的唯一来源。","职场；合作；功劳；信用","359095f1-02f7-5cfb-ac88-a2add28d06ca;05d3be97-1b30-5c13-8330-1c5bb3992838","a15b7aeb-2adf-565c-a240-a4b54cc970ef","事情要做好，还要让同事们分得到功劳。","359095f1-02f7-5cfb-ac88-a2add28d06ca","后半句","2026-07-16","https://www.ifdian.net/p/ed6f1e387afc11f1a7eb52540025c377","2025劳动合作剩余；2026将分功写成职场操作。","概念拆分","行动接口"
"P16","责任与信任、权柄、地位、资源和报酬构成交换结构。","授权命题","重新描述+资源对应","组织把可支配资源交给能承诺结果的人；责任边界可被定义。","把责任从纯负担改写为取得行动权限的接口。","精确定义责任范围；承担后果并使用相应权柄和资源。","强加任务若无对应授权，不自动符合“责任是福利”；能力不足须重新定界。","把去责任理解为只减负而不失去资源。","责任；组织；授权；资源","ca0b2dd4-e67a-5243-a150-98c3b33953c1;fa35c62a-72ac-5f83-806a-cbd66eaef0ab","fa35c62a-72ac-5f83-806a-cbd66eaef0ab","负责任是福利，不是吃亏。","ca0b2dd4-e67a-5243-a150-98c3b33953c1","赤手空拳","2026-07-08","https://www.zhihu.com/question/2007650353663984734/answer/2057207322015949934","2026：责任—授权交换获得集中表述，并由责任分类限定。","角色与授权重定义","概念拆分"
"P17","应区分他人责任、本分责任和自我加码责任，不能用自我美化混账。","分类命题","责任分类+动机揭示","任务来源、合同、能力标准和风险归属不同。","将“我承担很多”拆成三类，并追问是谁提高了标准。","寻找真正责任主体；完成本分；为自我加码造成的成本负责。","新手损失可以是学习成本；不意味着所有损失都应自行吞下。","把越界承担包装成高尚，再把后果归咎他人。","责任；职场；边界；学习","fa35c62a-72ac-5f83-806a-cbd66eaef0ab;ca0b2dd4-e67a-5243-a150-98c3b33953c1","","你真正需要吸取的教训是——要警惕自己自我美化的本能。","fa35c62a-72ac-5f83-806a-cbd66eaef0ab","三斗金","2026-06-29","https://www.zhihu.com/question/14174027046/answer/2055022964362459031","2026：责任交换结构内部进一步分出责任来源。","概念拆分","账本与净值"
"P18","无知可以解释非故意，但不能自动取消后果、赔偿和改进责任。","后果命题","时间拆分+反问","行为时意图与行为后损害是两个问题。","承认“不知道”对主观故意的解释力，再追问谁承担客观损失。","停止用非故意免责；承认、赔偿、修复并改进。","无知影响定罪与怨恨判断；并非一概等于故意作恶。","用“早知道就不会”索取全部免责。","责任；无知；赔偿；学习","951e524d-6eab-50ae-8d22-f39398a118bc;22b8e565-a37b-531a-896d-68604a4264bf","22b8e565-a37b-531a-896d-68604a4264bf","难道你说句“非故意”，就对你造成的损失不承担任何赔偿责任了？","951e524d-6eab-50ae-8d22-f39398a118bc","早知道","2025-09-08","https://afdian.com/p/170ae21486b011f0b4cc52540025c377","2025后果责任；2026《勿苛己》对罪责判断作另一侧限定。","概念拆分","反事实检验"
"P19","面对质疑，主体价值更应由持续产出而非无止境自证维持。","优先级命题","无限回归+受益者重排","每次辩白会提高下一次清白要求；真正等待成果的人承担停工损失。","推演自证的无限升级，并把责任对象从旁观者换成使用者。","承认私人缺憾，继续写作、创作、产品或慈善工作。","产出不取消具体责任；命题针对以名誉争论吞没工作。","以证明完美为先，停止实际贡献。","主体；劳动；名誉；公共产出","a15b7aeb-2adf-565c-a240-a4b54cc970ef;958169e5-e3b9-5a96-85d3-bd541b225541","951e524d-6eab-50ae-8d22-f39398a118bc","你和别人最亲近的关系，永远是你的产出，而不是别的。","a15b7aeb-2adf-565c-a240-a4b54cc970ef","做事第一","2026-07-12","https://www.zhihu.com/question/2056412683122091670/answer/2058533399363637911","2019可错行动；2026将其推进为产出优先。","反事实检验","行动接口"
"P20","财富来自劳动、自然条件、他人和偶然的共同赐予，因此伴随管理责任。","财富命题","归因扩展+托付类比","产出依赖阳光、土地、空气、健康、制度和运气，劳动不是唯一原因。","拆除单一劳动归因，把所得改写为带目的的托付。","以管理者而非绝对所有者姿态使用财富，使其保持可持续。","劳动仍是取得财富的申请和贡献；不是否定劳动功劳。","“我赢来的所以可任意处置”的绝对所有叙事。","财富；劳动；自然；责任","2133f3d8-4ccb-5c0f-9c09-1539ab21c794;f6fe9e2d-ca06-5a84-82b6-b7fe1d331120","bc0b8aa6-c51e-5c02-8b44-64f7c256154f","换句话来说，财富即责任。","2133f3d8-4ccb-5c0f-9c09-1539ab21c794","财富观","2020-05-01","https://www.zhihu.com/question/314627020/answer/1193533378","2020财富托付；2024-2025与生产性爱、劳动享受连接。","单项扩展为系统","类比迁移;角色与授权重定义"
"P21","劳动合作的超额收益可以补偿社交损耗，退出劳动会同时失去修复资源。","合作剩余命题","公式+反事实比较","合作可能产生1+1>2；社交困难会消耗部分收益。","建立“劳动获利－社交损耗＝劳动纯利”，比较参与与退出。","先参与可产生剩余的劳动，用成果和经验降低社交能力门槛。","只有超额收益足以覆盖损耗时成立；不是所有合作都有正剩余。","以社恐为由完全退出劳动。","劳动；合作；社交；能力","05d3be97-1b30-5c13-8330-1c5bb3992838;359095f1-02f7-5cfb-ac88-a2add28d06ca","446ed510-22ee-5cc9-ab46-f5ef8d851fa7","劳动获利 - 劳动过程中社交损耗 = 劳动纯利。","05d3be97-1b30-5c13-8330-1c5bb3992838","两个钱包","2025-06-26","https://afdian.com/p/b1a6164a4c7211f0bedc52540025c377","2025：劳动被明确写成关系困难的补偿性资源。","账本与净值","反事实检验"
"P22","劳动应与成果享受直接相连，勤奋可被重述为对改进过程的沉迷。","动机命题","重新命名+经验链","只用恐惧和吃苦教劳动，会切断观察、试验、成果与自豪。","把勤奋从克己叙事改写为反复获得工艺改善的享受。","让学习者直接使用、比较和享受成果，形成持续改进。","享受须来自真实劳动结果；不是任意快感都等于劳动。","用受苦、羞辱和恐惧证明勤奋。","劳动；教育；享受；工艺","2594339e-ab47-562d-bee7-c56fbb2ca325;05d3be97-1b30-5c13-8330-1c5bb3992838","446ed510-22ee-5cc9-ab46-f5ef8d851fa7","所谓的“勤奋”，本质上就是“沉迷享乐”。","2594339e-ab47-562d-bee7-c56fbb2ca325","乐此不疲","2025-08-01","https://afdian.com/p/6186cc9468c011f0b05752540025c377","2024劳动进入爱的核心；2025形成劳动享受论。","顺序反转","行动接口"
"P23","技术路线应按当前可实现、可稳定制造和可继续迭代的路径判断。","工程命题","约束接受+路径比较","理论指标高不等于当前能制造；大单元结构可能保留叠层和工艺空间。","先承认限制，再比较路线的实现成本与后续变体。","先做出稳定方案并积累工具、设计和工艺经验，争取有限追赶机会。","结论是“有机会赢半子”，不是已经证明全面领先。","用单项参数或理论上限直接判定技术成败。","技术；产业；工程；迭代","afd418f9-36d1-5652-8f90-188680e6cfbf;6587f538-6d67-5561-99dd-2eaf61719621","8c4f866e-8ef9-547c-af60-ada5792bb1f3","因为我们目前做不出小单元格，所以我们决定用大单元格叠两层的办法解决问题。","afd418f9-36d1-5652-8f90-188680e6cfbf","胜半子","2026-07-14","https://www.zhihu.com/question/2042176040638707165/answer/2042645041164837579","2018系统成本论证；2026形成明确的可实现路线判断。","行动接口","账本与净值"
"P24","系统能力不能由醒目的单项指标代替，必须把能量、工具、物流和协作计入。","系统命题","反例+总成本核算","耐力优势若入不敷出且失败损失高，就不能解释稳定狩猎。","拆除单项生理指标，补入伏击、投掷、追踪、搬运和家庭分工。","以整条可持续行动链判断优势，而非以局部能力自豪。","命题针对主要猎食手段解释，不否认耐力在局部场景存在。","用“人类最强耐力”单因解释文明优势。","技术；演化；协作；系统成本","8c4f866e-8ef9-547c-af60-ada5792bb1f3;afd418f9-36d1-5652-8f90-188680e6cfbf","","用“耐力狩猎”作为主要猎食手段还有一个重大的bug——入不敷出。","8c4f866e-8ef9-547c-af60-ada5792bb1f3","最强耐力","2018-06-11","https://www.zhihu.com/question/278113699/answer/415173883","2018建立单项指标批判；2026迁移到产业工程路线。","单项扩展为系统","账本与净值"
"P25","记录把数据转为经验、智慧和后代应对变化的能力。","知识传承命题","历史列举+因果链","无神谕式确定性时，经验需依赖族谱、地方志、食货和灾害记录保存。","把修史从争正统扩展为生活、生产和治理的数据工程。","持续记录功过、灾难和工序，让后来者站在经验之上。","文章的历史叙事是作者文本内主张；记录仍需后来者解释。","把中国修史单纯解释为正统竞争。","历史；记录；经验；文明","3d0daabb-8f65-5e52-b6b0-03280864f723;6587f538-6d67-5561-99dd-2eaf61719621","","数据出经验，经验出智慧，智慧保繁荣。","3d0daabb-8f65-5e52-b6b0-03280864f723","史不绝书","2026-07-14","https://www.zhihu.com/question/9945672304/answer/2042201727336714267","2026：记录与技术保存被共同写成文明续接接口。","单项扩展为系统","行动接口"
"P26","市场退出不等于技术应被遗忘，完整旧工艺可作为文明的休眠种子保存。","保存命题","种子库类比+最低资源方案","高效单一方案可能在环境变化时脆弱；旧工艺保留从低技术重建的能力。","把传统手艺类比原始种，把静态文物改写为可再生工序。","用最低限度资源保存曾经完整成功的技术方案，必要时重新调用。","不要求停止新技术或让旧技术重回主流。","市场淘汰等于文明价值归零。","技术；遗产；市场；文明韧性","6587f538-6d67-5561-99dd-2eaf61719621;3d0daabb-8f65-5e52-b6b0-03280864f723","afd418f9-36d1-5652-8f90-188680e6cfbf","伟业不死，只是逢冬而眠。","6587f538-6d67-5561-99dd-2eaf61719621","眠种","2026-07-09","https://www.zhihu.com/question/427364036/answer/2038687768700772586","2026：工程迭代与休眠保存形成并列技术路径。","类比迁移","行动接口"
"P27","服从是基于判断的决定，屈从则废弃是非判断并以暴力强弱代替。","政治定义命题","明示定义+对立概念","主体可以认可某种权柄或命令；实力本身不能证明正误。","以是否保留判断、是否存在授权区分服从与屈从。","把顺从锁定在服从定义内，从而保留拒绝和对抗屈从的能力。","命令权被限定于特定关系与谦卑、忏悔、爱等条件。","把任何顺从都称为奴性，或把强力当作权威。","服从；授权；政治；判断","8859afe4-31fa-5b72-a79a-675c16950c82;c0f1ba80-af0b-52ca-96f7-0ccc89da8928","446ed510-22ee-5cc9-ab46-f5ef8d851fa7","服从是一种决定。","8859afe4-31fa-5b72-a79a-675c16950c82","服从","2021-06-05","https://www.zhihu.com/question/463206973/answer/1924612230","2021形成服从/屈从定义；后期国家论述继续追问授权与公共能力。","明示定义","概念拆分;角色与授权重定义"
"P28","信用评估必须配套充分取证、申诉和独立复核，并计算制度净成本。","程序命题","制度反事实+成本收益","征信会影响人的机会；普遍完美记录可能只导致普遍低额度。","把“记录越严越好”转为信息质量、程序成本和效率余额问题。","重大信用事项不走简易程序；建立证据、辩方和独立复核。","制度收益必须扣除社会成本后仍有余额；不否定精准评估本身。","以整齐记录代替真实区分，以效率取消申诉。","法律；征信；证据；程序","c0f1ba80-af0b-52ca-96f7-0ccc89da8928;11ad7ad3-87eb-5681-93e2-de3e21cbd8a2","8859afe4-31fa-5b72-a79a-675c16950c82","真正的问题在于影响到征信的事项，必须给予充分合理的证据采集、辩方申诉和独立复核机制","c0f1ba80-af0b-52ca-96f7-0ccc89da8928","征信体系","2019-08-21","https://www.zhihu.com/question/341338492/answer/796914277","2019程序命题；2020在批评权中扩展逻辑、证据与定罪边界。","反事实检验","账本与净值;行动接口"
"P29","降低欲望和组织可减少权力诱惑，却不能自动解决公共服务与集体安全。","制度限度命题","思想实验+功能反问","组织集中力量能提供防卫和水利，也会集中可争夺权力。","接受庄子式去组织的安慰功能，再追问缺失的公共能力。","个人可选择清静；共同体仍须回答服务、安全和协调如何供给。","不是单向赞美集中权力；权力集中仍被视为诱惑来源。","以去欲、去组织作为全部政治问题的答案。","国家；公共服务；权力；组织","446ed510-22ee-5cc9-ab46-f5ef8d851fa7;c9e76d20-ad76-500f-95eb-be07ade6e9f1","8859afe4-31fa-5b72-a79a-675c16950c82","它唯一没解决的就是没有解决公共服务问题、集体安全问题","446ed510-22ee-5cc9-ab46-f5ef8d851fa7","清静无为","2026-07-09","https://www.ifdian.net/p/d3333f6a757811f1bfb052540025c377","2026：清静道路与有界公共理想并列出现。","反事实检验","单项扩展为系统"
"P30","公共理想应接受差异、妥协和强制成本，以可持续改善而非绝对满分为尺度。","妥协命题","阈值设定+后果推演","减少饥饿疾病、增加正义和平自由可同时受到冲突与资源限制。","把满分重定为可承受的70分，计算过度强制制造的敌人和补偿成本。","以多数可接受的中等改善作为至高理想，持续修正而非一次清零差异。","不是放弃理想；70分本身被作者称为至高理想。","用绝对目标授权无限强制。","国家；理想；妥协；和平","c9e76d20-ad76-500f-95eb-be07ade6e9f1;446ed510-22ee-5cc9-ab46-f5ef8d851fa7","","满分就是70分。","c9e76d20-ad76-500f-95eb-be07ade6e9f1","满分70","2026-07-08","https://www.zhihu.com/question/1922715457334538271/answer/2057549134920520308","2026：公共能力论与低强度目标论互相限定。","阈值与红线","账本与净值;反事实检验"
"P31","适度焦虑是面对不确定性的训练材料，可通过小规模经历降低其威力。","心理功能命题","定义+训练类比","前途事件的结果不完全可控；回避会保留或扩大未知恐惧。","将焦虑从失败证据改写为警觉信号，并以小步暴露积累经验。","欢迎可承受的小焦虑，继续睡眠、饮食、计算和劳动，形成镇定反馈。","命题说“适度”；文章未把所有强度和所有处境等同。","把焦虑出现本身视为事情必败或人格无能。","心理；焦虑；训练；行动","b8f88d55-2aa2-5e96-9a9d-4c486b4f4f42;15e6750c-c146-58ea-b925-3a495204a3ef","101192ad-8c18-5d1a-abfe-c6d8e7727c38","你只有一个选择，就是学会和焦虑共处。","b8f88d55-2aa2-5e96-9a9d-4c486b4f4f42","适度焦虑","2023-10-20","https://www.zhihu.com/question/522753742/answer/2029837103773626665","2023适度焦虑；2026与任务拆解、停止自责形成修复链。","顺序反转","行动接口;类比迁移"
"P32","事件后的无能认同会追加痛苦，修复首先要停止继续自我加重。","心理机制命题","两阶段模型+背包类比","事件严重性相对于个人经验；本能反应不等于人格结论。","区分最初挫折与随后“我真无能”的解释循环。","识别精神包袱，减少自责与恐惧，等待并配合恢复。","不否认初始事件和痛苦；停止的是后续追加判决。","把暂时失衡直接解释为整体无能。","心理；创伤；自责；主体修复","101192ad-8c18-5d1a-abfe-c6d8e7727c38;22b8e565-a37b-531a-896d-68604a4264bf","b8f88d55-2aa2-5e96-9a9d-4c486b4f4f42","停止往你的背包里塞土。","101192ad-8c18-5d1a-abfe-c6d8e7727c38","砼","2026-07-09","https://www.zhihu.com/question/1953990821335507505/answer/2037138815870096722","2026：焦虑训练与停止追加自责被并列为行动接口。","概念拆分","行动接口;类比迁移"
"P33","习得性无助常来自任务规模估计和规划能力不足，而非所有工序都做不到。","能力诊断命题","任务分解+工序模型","单次努力无法吞下过大问题；工序需验收并最终衔接。","把整体失败拆成规模估计、工序设计、验收和连接四个问题。","找温和可靠的引路人，从助手和小工序开始积累能力、报酬与信心。","文章允许更换引路人；暂时忍耐批评只限文中具体指导关系。","把不会规划解释成整个人没有完成能力。","心理；教育；规划；能力","15e6750c-c146-58ea-b925-3a495204a3ef;101192ad-8c18-5d1a-abfe-c6d8e7727c38","61843e2f-9230-5dc2-adf6-bb7b3416d5f6","你不是完成任务的能力不足，而是规划的能力不足。","15e6750c-c146-58ea-b925-3a495204a3ef","三分一又三分一","2026-07-08","https://www.zhihu.com/question/458676234/answer/2057597134300614774","2026：主体修复被工程化为任务拆解和反馈。","概念拆分","行动接口"
