"period","platform","groupArticleCount","term","articleCount","articleRate","occurrenceCount"
"2021-2023","Afdian","41","学习","4","0.097561","7"
"2021-2023","Afdian","41","教育","7","0.170732","20"
"2021-2023","Afdian","41","选择","14","0.341463","49"
"2021-2023","Afdian","41","自由","9","0.219512","18"
"2021-2023","Afdian","41","责任","12","0.292683","37"
"2021-2023","Afdian","41","义务","4","0.097561","7"
"2021-2023","Afdian","41","后果","4","0.097561","7"
"2021-2023","Afdian","41","成本","13","0.317073","30"
"2021-2023","Afdian","41","风险","9","0.219512","13"
"2021-2023","Afdian","41","资源","6","0.146341","18"
"2021-2023","Afdian","41","总账","0","0","0"
"2021-2023","Afdian","41","信用","2","0.04878","4"
"2021-2023","Afdian","41","信任","2","0.04878","4"
"2021-2023","Afdian","41","承诺","1","0.02439","1"
"2021-2023","Afdian","41","爱","14","0.341463","66"
"2021-2023","Afdian","41","净输出","0","0","0"
"2021-2023","Afdian","41","不掠夺","0","0","0"
"2021-2023","Afdian","41","劳动","6","0.146341","10"
"2021-2023","Afdian","41","产出","2","0.04878","3"
"2021-2023","Afdian","41","财富","3","0.073171","8"
"2021-2023","Afdian","41","社会资本","0","0","0"
"2021-2023","Afdian","41","权利","4","0.097561","8"
"2021-2023","Afdian","41","权力","5","0.121951","20"
"2021-2023","Afdian","41","授权","1","0.02439","8"
"2021-2023","Afdian","41","服从","0","0","0"
"2021-2023","Afdian","41","反抗","1","0.02439","2"
"2021-2023","Afdian","41","技术","3","0.073171","9"
"2021-2023","Afdian","41","自然法","3","0.073171","5"
"2021-2023","Afdian","41","伦理","6","0.146341","10"
"2021-2023","Afdian","41","道德","4","0.097561","7"
"2021-2023","Zhihu","1635","事实","404","0.247095","862"
"2021-2023","Zhihu","1635","证据","115","0.070336","209"
"2021-2023","Zhihu","1635","定义","159","0.097248","258"
"2021-2023","Zhihu","1635","能力","485","0.296636","1139"
"2021-2023","Zhihu","1635","学习","148","0.09052","286"
"2021-2023","Zhihu","1635","教育","175","0.107034","392"
"2021-2023","Zhihu","1635","选择","447","0.273394","915"
"2021-2023","Zhihu","1635","自由","243","0.148624","596"
"2021-2023","Zhihu","1635","责任","279","0.170642","690"
"2021-2023","Zhihu","1635","义务","178","0.108869","392"
"2021-2023","Zhihu","1635","后果","166","0.101529","250"
"2021-2023","Zhihu","1635","成本","370","0.2263","851"
"2021-2023","Zhihu","1635","风险","247","0.15107","527"
"2021-2023","Zhihu","1635","资源","226","0.138226","451"
"2021-2023","Zhihu","1635","总账","7","0.004281","10"
"2021-2023","Zhihu","1635","信用","49","0.029969","72"
"2021-2023","Zhihu","1635","信任","61","0.037309","90"
"2021-2023","Zhihu","1635","承诺","64","0.039144","119"
"2021-2023","Zhihu","1635","爱","427","0.261162","1882"
"2021-2023","Zhihu","1635","净输出","7","0.004281","25"
"2021-2023","Zhihu","1635","不掠夺","2","0.001223","2"
"2021-2023","Zhihu","1635","劳动","71","0.043425","157"
"2021-2023","Zhihu","1635","产出","21","0.012844","28"
"2021-2023","Zhihu","1635","财富","84","0.051376","178"
"2021-2023","Zhihu","1635","社会资本","2","0.001223","2"
"2021-2023","Zhihu","1635","权利","173","0.10581","408"
"2021-2023","Zhihu","1635","权力","90","0.055046","138"
"2021-2023","Zhihu","1635","授权","47","0.028746","71"
"2021-2023","Zhihu","1635","服从","51","0.031193","189"
"2021-2023","Zhihu","1635","反抗","45","0.027523","76"
"2021-2023","Zhihu","1635","技术","202","0.123547","410"
"2021-2023","Zhihu","1635","自然法","55","0.033639","135"
"2021-2023","Zhihu","1635","伦理","142","0.08685","256"
"2021-2023","Zhihu","1635","道德","152","0.092966","313"
"2024-2026","Afdian","741","事实","163","0.219973","259"
"2024-2026","Afdian","741","证据","46","0.062078","89"
"2024-2026","Afdian","741","定义","53","0.071525","89"
"2024-2026","Afdian","741","能力","235","0.317139","575"
"2024-2026","Afdian","741","学习","116","0.156545","287"
"2024-2026","Afdian","741","教育","93","0.125506","164"
"2024-2026","Afdian","741","选择","187","0.252362","390"
"2024-2026","Afdian","741","自由","123","0.165992","262"
"2024-2026","Afdian","741","责任","136","0.183536","283"
"2024-2026","Afdian","741","义务","101","0.136302","209"
"2024-2026","Afdian","741","后果","100","0.134953","139"
"2024-2026","Afdian","741","成本","146","0.197031","318"
"2024-2026","Afdian","741","风险","135","0.182186","245"
"2024-2026","Afdian","741","资源","140","0.188934","263"
"2024-2026","Afdian","741","总账","5","0.006748","6"
"2024-2026","Afdian","741","信用","42","0.05668","73"
"2024-2026","Afdian","741","信任","49","0.066127","69"
"2024-2026","Afdian","741","承诺","40","0.053981","76"
"2024-2026","Afdian","741","爱","276","0.37247","1169"
"2024-2026","Afdian","741","净输出","3","0.004049","8"
"2024-2026","Afdian","741","不掠夺","0","0","0"
"2024-2026","Afdian","741","劳动","59","0.079622","168"
"2024-2026","Afdian","741","产出","8","0.010796","15"
"2024-2026","Afdian","741","财富","33","0.044534","45"
"2024-2026","Afdian","741","社会资本","1","0.00135","1"
"2024-2026","Afdian","741","权利","57","0.076923","99"
"2024-2026","Afdian","741","权力","37","0.049933","51"
"2024-2026","Afdian","741","授权","13","0.017544","16"
"2024-2026","Afdian","741","服从","19","0.025641","32"
"2024-2026","Afdian","741","反抗","13","0.017544","28"
"2024-2026","Afdian","741","技术","70","0.094467","121"
"2024-2026","Afdian","741","自然法","59","0.079622","129"
"2024-2026","Afdian","741","伦理","46","0.062078","74"
"2024-2026","Afdian","741","道德","58","0.078273","104"
"2024-2026","Zhihu","1119","事实","211","0.188561","318"
"2024-2026","Zhihu","1119","证据","49","0.043789","79"
"2024-2026","Zhihu","1119","定义","69","0.061662","118"
"2024-2026","Zhihu","1119","能力","284","0.253798","561"
"2024-2026","Zhihu","1119","学习","119","0.106345","298"
"2024-2026","Zhihu","1119","教育","145","0.12958","311"
"2024-2026","Zhihu","1119","选择","289","0.258266","549"
"2024-2026","Zhihu","1119","自由","150","0.134048","287"
"2024-2026","Zhihu","1119","责任","176","0.157283","389"
"2024-2026","Zhihu","1119","义务","116","0.103664","261"
"2024-2026","Zhihu","1119","后果","92","0.082216","127"
"2024-2026","Zhihu","1119","成本","207","0.184987","418"
"2024-2026","Zhihu","1119","风险","190","0.169794","336"
"2024-2026","Zhihu","1119","资源","144","0.128686","251"
"2024-2026","Zhihu","1119","总账","4","0.003575","4"
"2024-2026","Zhihu","1119","信用","45","0.040214","102"
"2024-2026","Zhihu","1119","信任","71","0.06345","130"
"2024-2026","Zhihu","1119","承诺","54","0.048257","121"
"2024-2026","Zhihu","1119","爱","360","0.321716","1651"
"2024-2026","Zhihu","1119","净输出","4","0.003575","8"
"2024-2026","Zhihu","1119","不掠夺","3","0.002681","10"
"2024-2026","Zhihu","1119","劳动","81","0.072386","189"
"2024-2026","Zhihu","1119","产出","9","0.008043","11"
"2024-2026","Zhihu","1119","财富","62","0.055407","99"
"2024-2026","Zhihu","1119","社会资本","5","0.004468","21"
"2024-2026","Zhihu","1119","权利","84","0.075067","154"
"2024-2026","Zhihu","1119","权力","46","0.041108","82"
"2024-2026","Zhihu","1119","授权","15","0.013405","21"
"2024-2026","Zhihu","1119","服从","29","0.025916","56"
"2024-2026","Zhihu","1119","反抗","25","0.022341","29"
"2024-2026","Zhihu","1119","技术","140","0.125112","276"
"2024-2026","Zhihu","1119","自然法","69","0.061662","128"
"2024-2026","Zhihu","1119","伦理","70","0.062556","115"
"2024-2026","Zhihu","1119","道德","87","0.077748","151"
